# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: python3 src/data/create_weapons_csv.py
WeaponGameId|CardName|CanonicalWeaponId|ClassIds|TalentIds|Cost|Power|AbilityText|Types
WG219268ac24|Mandible Claw|CWab5fe23891|CL48a111b581|||3|**Once per Turn Action** - {r}{r}: **Attack**  If you have discarded a card with 6 or more {p} this turn, this card's attacks **go again**.|Brute, Weapon, Claw, 1H
WGe2ebd630f8|Plasma Barrel Shot|CWa111b79780|CLc2defff067|||X|**Once per Turn Action** - Remove a steam counter from Plasma Barrel Shot: **Attack**  **Action** - {r}{r}: If there are no steam counters on Plasma Barrel Shot, put a steam counter on it. **Go again**  X is equal to 1 plus the number of times you have **boosted** this combat chain.|Mechanologist, Weapon, Gun, 2H
WGfba8f9ee68|Reaping Blade|CWac145c71d4|CL7ddbb0abd6|||3|**Once per Turn Action** - {r}: **Attack**  If a hero has more {h} than any other hero, they can't gain {h}.|Runeblade, Weapon, Sword, 2H
WGd05f247b45|Red Liner|CWcae6467a84|CLe8126c64c3||||**Once per Turn Action** - 0: If you have no cards in your arsenal, put an arrow card from your hand face up into your arsenal. **Go again**|Ranger, Weapon, Bow, 2H
WG33fd437174|Sledge of Anvilheim|CW677fa360bb|CL8060afda51|||6|**Action** - {r}{r}{r}{r}: **Attack**|Guardian, Weapon, Hammer, 2H
WG5197b184cd|Talishar, the Lost Prince|CW2d61057b1e|CL46a808cfd5|||4|**Once per Turn Action** - {r}{r}, put a rust counter on Talishar, the Lost Prince: **Attack**  At the beginning of your end phase, if Talishar, the Lost Prince has 3 or more rust counters on it, destroy it.|Generic, Weapon, Sword, 2H
WG3d25624da0|Zephyr Needle|CWe424b0455e|CL04a4fce796|||2|**Once per Turn Action** - {r}: **Attack**. **Go again**  When this is defended by a card with {d} greater than this weapon attack's {p}, destroy this when the combat chain closes.|Ninja, Weapon, Dagger, 1H
WGd1cef20cc0|Dread Scythe|CWd0a4def32c|CL7ddbb0abd6|||3|**Once per Turn Action** - {r}{r}{r}: **Attack**  Whenever you attack with Dread Scythe, deal 1 arcane damage to the defending hero.  A hero dealt damage by Dread Scythe can't gain {h} during their next action phase.|Runeblade, Weapon, Scythe, 2H
WGb37cc67131|Galaxxi Black|CW875cfefc18|CL7ddbb0abd6|TLed9d3d832a||1|**Once per Turn Action** - {r}: **Attack**  If you have played a card from your banished zone this turn, Galaxxi Black gains +2{p} until end of turn.  If Galaxxi Black hits a hero, deal 1 arcane damage to that hero.|Shadow, Runeblade, Weapon, Sword, 2H
WGfe32dc21a9|Hatchet of Body|CWab8a222995|CLf4c16fcffe|||2|**Once per Turn Action** - {r}: **Attack**  Whenever you attack with Hatchet of Body, if Hatchet of Mind was the last attack this turn, Hatchet of Body gains +1{p} until end of turn.|Warrior, Weapon, Axe, 1H
WG6501a1bad4|Hatchet of Mind|CWdaddf039ba|CLf4c16fcffe|||2|**Once per Turn Action** - {r}: **Attack**  Whenever you attack with Hatchet of Mind, if Hatchet of Body was the last attack this turn, Hatchet of Mind gains +1{p} until end of turn.|Warrior, Weapon, Axe, 1H
WG522c5e1459|Hexagore, the Death Hydra|CW0b5bc1b8b8|CL48a111b581|TLed9d3d832a||6|**Once per Turn Action** - {r}{r}: **Attack**  Whenever you attack with Hexagore, it deals damage to you equal to 6 minus the number of cards with **blood debt** in your banished zone.|Shadow, Brute, Weapon, Flail, 2H
WGcabfd78e27|Iris of Reality|CWbce06de716|CLe7f74fadce||||During your action phase, Illusionist auras you control are weapons with 4{p} and **Once per Turn Action** - {r}{r}{r}: **Attack. Go again**|Illusionist, Weapon, Orb, 2H
WG3779943366|Luminaris|CWf0d759e6a1|CLe7f74fadce|TLdfccc06f14|||"During your action phase, Illusionist auras you control are weapons with 1{p} and ""**Once per Turn Action** - 0: **Attack**""  While there is a card with a yellow color strip in your pitch zone, Illusionist attacks you control have **go again**."""|Light, Illusionist, Weapon, Scepter, 2H
WG45cc5a1e97|Ravenous Meataxe|CW0388740b13|CL48a111b581|||3|**Once per Turn Action** - {r}{r}: **Attack**  Whenever you attack with Ravenous Meataxe, draw a card then discard a random card. If a card with 6 or more {p} is discarded this way, Ravenous Meataxe gains +2{p} until end of turn.|Brute, Weapon, Axe, 2H
WGb3f31675c0|Raydn, Duskbane|CW0bed03c9d2|CLf4c16fcffe|TLdfccc06f14||0|**Once per Turn Action** - 0: **Attack**  If you've **charged** this turn, Raydn gains +3{p}.|Light, Warrior, Weapon, Sword, 2H
WG34b931e52e|Duskblade|CWca11c8122f|CL7ddbb0abd6|||2|**Once per Turn Action** - {r}: **Attack**  Whenever you attack with Duskblade, if you've played an attack action card and a 'non-attack' action card this turn, put a +1{p} counter on Duskblade.  At the beginning of your end phase, if you haven't played an attack action card and a 'non-attack' action card this turn, remove all +1{p} counters from Duskblade.|Runeblade, Weapon, Sword, 2H
WG769fa4cd13|Rosetta Thorn|CW1291a70e20|CL7ddbb0abd6|||2|**Once per Turn Action** - {r}: **Attack**  Whenever you attack with Rosetta Thorn, if you've played an attack action card and a 'non-attack' action card this turn, deal 2 arcane damage to target hero.|Runeblade, Weapon, Sword, 2H
WG8c30d8643d|Shiver|CW8562649e90|CLe8126c64c3|TL86c5d291db|||**Once per Turn Instant** - {r}: You may put an arrow card from your hand face up into an empty arsenal zone you control. If you do, choose 1;  - It gains +1{p} until end of turn. - It gains **dominate** until end of turn.|Elemental, Ranger, Weapon, Bow, 2H
WGc01f652ea1|Titan's Fist|CW28f4d88f4f|CL8060afda51|||3|**Once per Turn Action** - {r}{r}{r}: **Attack**  If there is a card with cost 3 or greater in your pitch zone, Titan's Fist has +1{p}.|Guardian, Weapon, Hammer, 1H
WG42ea4040ce|Voltaire, Strike Twice|CW0cbcced282|CLe8126c64c3|TL86c5d291db|||**Twice per Turn Instant** - {r}: You may put an arrow card from your hand face up into an empty arsenal zone you control. If you do, choose 1;  - It gains +1{p} until end of turn. - It gains **go again** until end of turn.|Elemental, Ranger, Weapon, Bow, 2H
WGcf8382646f|Winter's Wail|CWb61e3ce245|CL8060afda51|TL86c5d291db||4|"**Once per Turn Action** - {r}{r}{r}: **Attack**  If an Ice card is pitched this way, Winter's Wail gains ""If this hits a hero, create a Frostbite token under their control."""|Elemental, Guardian, Weapon, Hammer, 1H
WG8802a16e17|Dreadbore|CW05b351aa9b|CLe8126c64c3||||"**Once per Turn Action** - {r}: You may put an arrow card from your hand face up into an empty arsenal zone you control. If you do, it gains +1{p} until end of turn. **Go again**  Arrows you control have ""Defense reactions can't be played from hand this chain link."""|Ranger, Weapon, Bow, 2H
WGca8d23816a|Kraken's Aethervein|CW3f7fbd3e19|CLaf2c41eb4e||||**Once per Turn Instant** - {r}{r}{r}: Deal 1 arcane damage to target opposing hero. Draw a card for each arcane damage dealt this way.|Wizard, Weapon, Staff, 2H
WG275d5cb51a|Bone Basher|CW188bb9c5f3|CL48a111b581|||4|**Once per Turn Action** - {r}{r}: **Attack**|Brute, Weapon, Club, 2H
WG3e1892fc77|Dawnblade, Resplendent|CW0061f0373d|CLf4c16fcffe|||2|**Once per Turn Action** - {r}: **Attack**  The second time you attack with this each turn, it gets +1{p} until end of turn.|Warrior, Weapon, Sword, 2H
WGdb39131f3e|Searing Emberblade|CWbe17fe9d04|CL04a4fce796|TL8d85e3583f||3|**Once per Turn Action** - {r}{r}: **Attack**  If you control 2 or more Draconic chain links, this card's attacks get **go again**.|Draconic, Ninja, Weapon, Sword, 2H
WGa213fd92dd|Storm of Sandikai|CWae5f9e6bb1|CLe7f74fadce|TL8d85e3583f|||"Dragon allies you control have ""**Once per Turn Action** - 0: **Attack**""."|Draconic, Illusionist, Weapon, Scepter, 2H
WGa20cfd8d54|Waning Moon|CW3bac1d71c5|CLaf2c41eb4e||||**Once per Turn Instant** - {r}{r}: Deal 2 arcane damage to target hero. If it's not your turn, instead deal 3 arcane damage to them. Activate this ability only if you've played a 'non-attack' action card this turn.|Wizard, Weapon, Staff, 2H
WG596a1867ff|Annals of Sutcliffe|CWbaa9d0775e|CL7ddbb0abd6||||**Once per Turn Action** - {r}{r}{r}: Draw a card. If an attack action card and a 'non-attack' action card were pitched this way, create a Runechant token.|Runeblade, Weapon, Book, 2H
WG6fdbd9eb40|Hanabi Blaster|CW837edfe104|CLc2defff067|||5|**Once per Turn Action** - Remove 2 steam counters from Hanabi Blaster: **Atttack**  **Overpower**  The third time you play a card with **boost** each turn, put a steam counter on Hanabi Blaster.|Mechanologist, Weapon, Gun, 2H
WGc786483d2b|Jubeel, Spellbane|CWa42dc386f5|CLf4c16fcffe|||3|**Once per Turn Action** - {r}: **Attack**  Whenever this hits a hero and you don't control a Spellbane Aegis, create a Spellbane Aegis token.|Warrior, Weapon, Sword, 2H
WGae3ce99776|Merciless Battleaxe|CW782af9c989|CLf4c16fcffe|||3|**Once per Turn Action** - {r}{r}{r}: **Atttack**  When this attacks, if the attack's {p} is greater than twice its base, the attack gets **overpower**.|Warrior, Weapon, Axe, 2H
WGfd7e905bf1|Nitro Mechanoid|CWc59ba06c36|CLc2defff067|||5|**Action** - Banish a card from under Nitro Mechanoid: **Attack**  **Overpower**  **Temper**|Mechanologist, Weapon, Equipment, Item
WGbfd0e2496b|Quicksilver Dagger|CWea57055ee3|CLf4c16fcffe|||1|**Once per Turn Action** - {r}: **Attack**  If another weapon you control has gained **go again** this turn, this card's attacks get **go again**.|Warrior, Weapon, Dagger, 1H
WGdd69ed08a0|Rok|CW91d1dd8615|CL48a111b581|||7|**Once per Turn Action** - {r}{r}{r}: **Attack**  Activate Rok only if you have no cards in hand.  Damage that would be dealt by Rok can't be prevented.|Brute, Weapon, Rock, 2H
WGd42364dc8d|Sandscour Greatbow|CW6752591bae|CLe8126c64c3||||**Once per Turn Action** - {r}: Look at the top card of your deck. You may put an arrow from your hand or the top of your deck face up into your arsenal. **Go again**  Whenever an arrow is put face up in arsenal from your deck, put an aim counter on it.|Ranger, Weapon, Bow, 2H
WG341e63c0a5|Seerstone|CW72b0d95eae|CLaf2c41eb4e||||**Action** - {r}{r}{r}: Look at the top card of your deck. You may put it on the bottom. Create a Ponder token.|Wizard, Weapon, Orb, 2H
WG14efb98bf3|Spider's Bite|CWf90eee24a0|CLa055f8b49d|||1|**Once per Turn Action** - {r}{r}: **Attack**. **Go again**  **Piercing 1**  When this hits a hero, the next time they defend with 1 or more attack action cards this turn, those cards have -1{d} while defending.|Assassin, Weapon, Dagger, 1H
WGced92921fb|Surgent Aethertide|CW2af451e8dc|CLaf2c41eb4e||||**Once per Turn Action** - {r}{r}: Deal 1 arcane damage to an opposing hero. **Go again**  The first card you play each turn with an arcane damage effect, instead deals that much arcane damage plus X, where X is the damage dealt by Surgent Aethertide this turn.|Wizard, Weapon, Staff, 2H
WG650380ddb3|Barbed Castaway|CW0a7b2bc60c|CLe8126c64c3||||**Once per Turn Instant** - {r}: You may put an arrow card from your hand face up into your arsenal.  **Once per Turn Instant** - {r}: You may turn a face down arrow in your arsenal face up. If you do, put an aim counter on it.|Ranger, Weapon, Bow, 2H
WGa78e6f4582|Nerve Scalpel|CWd4cb4ba65d|CLa055f8b49d|||1|**Once per Turn Action** - {r}{r}: **Attack**. **Go again**  **Piercing 1**  When this hits a hero, the next time they defend with 1 or more reaction cards this turn, those cards have -1{d} while defending.|Assassin, Weapon, Dagger, 1H
WGb5217111d1|Orbitoclast|CW22cd32b5f6|CLa055f8b49d|||1|**Once per Turn Action** - {r}{r}: **Attack**. **Go again**  **Piercing 1**  When this hits a hero, the next time they defend with 1 or more 'non-attack' action cards this turn, those cards have -1{d} while defending.|Assassin, Weapon, Dagger, 1H
WG2234c09c44|Scale Peeler|CWdd428e1a62|CLa055f8b49d|||1|**Once per Turn Action** - {r}{r}: **Attack**. **Go again**  **Piercing 1**  When this hits a hero, the next time they defend with 1 or more equipment this turn, those equipment have -1{d} while defending.|Assassin, Weapon, Dagger, 1H
WGb9be8cbd5c|Beaming Blade|CW80f07d383f|CLf4c16fcffe|TLdfccc06f14||0|**Once per Turn Action** - {r}{r}: **Attack**  If a yellow card has been put into your hero's soul this turn, this gets +5{p}.|Light, Warrior, Weapon, Sword, 2H
WG2f2bbdaefc|Decimator Great Axe|CW940f2af9c2|CLf4c16fcffe|||4|**Once per Turn Action** - {r}{r}{r}:  **Attack**  The first time this is defended by a non-equipment card each turn, halve the base {d} of target defending card, rounded up, until end of turn.|Warrior, Weapon, Axe, 2H
WG96a5d8b0c7|Flail of Agony|CWe3eb220aa4|CL7ddbb0abd6|TLed9d3d832a||1|**Vynnset Specialization**  **Once per Turn Action** - {h}: **Attack**  When this hits, create a Runechant token.|Shadow, Runeblade, Weapon, Flail, 1H
WG564c20447a|Hell Hammer|CW65cc543259|CL48a111b581|TLed9d3d832a||6|**Once per Turn Action** - {r}{r}: **Attack**  When the combat chain closes, if this attacked, banish it.  **Blood Debt**|Shadow, Brute, Weapon, Hammer, 2H
WG37b41c045c|Luminaris, Celestial Fury|CW4297b85795|CLe7f74fadce|TLdfccc06f14|||**Once per Turn Instant** - {r}{r}: Target angel attack or attack action card with Herald in its name gets **go again**.|Light, Illusionist, Weapon, Scepter, 2H
WG1ce051d2bd|Reality Refractor|CW25edd3ba00|CLe7f74fadce||||"Illusionist auras you control are weapons with 5 base {p} and ""**Once per Turn Action** - {r]{r}: **Attack**"""|Illusionist, Weapon, Orb, 2H
WGc7eeb31d62|Rugged Roller|CWcefd6263b0|CL48a111b581|||6|**Once per Turn Action** - {r}: **Attack**  Activate Rugged Roller only if you've rolled a 6 on a die this turn.|Brute, Weapon, Club, 2H
WGb4b32a75c7|Scepter of Pain|CW671ecc50bf|CL7ddbb0abd6||||**Once per Turn Action** - {r}{r}: Deal 1 arcane damage to any opposing target.  Create a Runechant token for each damage dealt this way.|Runeblade, Weapon, Scepter, 1H
WG1ed7aef81a|Hammer of Havenhold|CW8f41f5de05|CL8060afda51|||3|**Once per Turn Action** - {r}{r}{r}: **Attack**  If you have a Chivalry in your pitch zone, this gets +1{p}.|Guardian, Weapon, Hammer, 1H
WGe10cc30e2b|Jinglewood, Smash Hit|CW7c80a711a5|CLc40cbb33be|||2|**Once per Turn Action** - {r}{r}{r}: Target opposing hero chooses and creates a Might, Quicken, or Vigor token. You create a Copper token. **Go again**  **Action** - 0: **Attack**. When this hits, destroy it.|Bard, Weapon, Fiddle, 2H
WGd45d516b1a|Teklo Blaster|CW839c247a53|CLc2defff067|||2|**Once per Turn Action** - {r}{r}{r}: **Attack**|Mechanologist, Weapon, Gun, 2H
WGb2dfd91e36|Banksy|CW57e3f66807|CLc2defff067|||3|**Maxx Specialization**  **Once per Turn Action** - {r}: **Attack**. Activate this ability only if you've cranked this turn.  When this hits a hero, put a steam counter on an item you control with crank.|Mechanologist, Weapon, Wrench, 2H
WG271d4df242|Symbiosis Shot|CW951b917707|CLc2defff067|||2|**Dash Specialization**  **Action** - Remove a steam counter from this: **Attack**  Whenever a Mechanologist item enters the arena under your control, if this has fewer than 6 steam counters, you may put a steam counter on this.|Mechanologist, Weapon, Gun, 2H
WG6c6b35ac92|Teklo Leveler|CW973350523e|CLc2defff067|||2|"If you have 1 or more Evos equipped, this gets ""**Once per Turn Action** - {r}{r}{r}: **Attack**,""  * 2 or more, this costs {r}{r} less to activate, * 3 or more, this gets **go again**, * 4 or more, this gets +1{p}."|Mechanologist, Weapon, Gun, 2H
WGa8323ff50a|Ball Breaker|CW725206f3d2|CL48a111b581|||3|**Once per Turn Action** - {r}{r}: **Attack**  If you've discarded a card with 6 or more {p} this turn, this gets +1{p}.|Brute, Weapon, Flail, 1H
WGf4edfe7f22|Graven Call|CW89afa48192|CLa055f8b49d|||1|**Once per Turn Action** - {r}{r}: **Attack**. **Go again**  **Piercing 1**  **Instant** - Destroy 2 Silver you control: Equip this with a +1{p} counter. Activate this ability only while this is in your graveyard.|Assassin, Weapon, Dagger, 1H
WGcaa434409d|High Riser|CW3c09d28fdc|CL8060afda51|||3|**Once per Turn Action** - {r}{r}{r}: **Attack**  If you've drawn a card this turn, this gets +1{p}.|Guardian, Weapon, Hammer, 1H
WG5c928e3a56|Hot Streak|CW429f2872c2|CLf4c16fcffe|||2|**Once per Turn Action** - {r}: **Attack**  When this is defended by 1 or more attack action cards, Hot Streak's attacks get **go again** this turn.|Warrior, Weapon, Sword, 1H
WGbe811e5cc1|Luminaris, Angel's Glow|CW91bdd70e6d|CLe7f74fadce|TLdfccc06f14|||If there is a yellow card in your pitch zone, the first attack action card with Herald in its name you play each turn and your first angel attack each turn get **go again**.|Light, Illusionist, Weapon, Scepter, 2H
WG1bb9380295|Miller's Grindstone|CW794329a2bf|CL8060afda51|||4|**Once per Turn Action** - {r}{r}{r}: **Attack**  When this hits a hero, **clash** with them. If you win, destroy the top card of their deck. If they win, put a -1{p} counter on this.|Guardian, Weapon, Hammer, 1H
WG538e4eff8d|Mini Meataxe|CW5e05213e95|CL48a111b581|||3|**Once per Turn Action** - {r}{r}: **Attack**  When this attacks, draw a card then discard a random card.|Brute, Weapon, Axe, 1H
WG0459ad1f56|Parry Blade|CW677d6c9ece|CLf4c16fcffe|||2|**Once per Turn Action** - {r}: **Attack**  This gets +2{d} while defending a weapon attack.  **Blade Break**|Warrior, Weapon, Equipment, Sword, 1H
WG7f51c77f60|Beckoning Mistblade|CW7f631710e3|CLa055f8b49d|TLf06e1de18e||1|**Once per Turn Action** - {r}{r}: **Attack**. **Go again**  When this hits, your next blue attack this turn gets +1{p} and **go again**.|Mystic, Assassin, Weapon, Dagger, 1H
WG40edff74d3|Cosmo, Scroll of Ancestral Tapestry|CW3f102b46a1|CLe7f74fadce||||During your turn, auras you control with **ward** are weapons with base {p} equal to their **ward** and **Once per Turn Action - {r}: Attack**  Your aura attacks with one or more +1{p} counters get **go again**.|Illusionist, Weapon, Scroll, 2H
WG48a219b6cd|Tiger Taming Khakkara|CW3c9bc2b6a0|CL04a4fce796|||2|**Once per Turn Action** - {r}{r}: **Attack**. **Go again**  When this attacks, the next Crouching Tiger you play this combat chain gets +1{p}.|Ninja, Weapon, Staff, 2H
WGbe2c893551|Redwood Hammer|CW69f06b236b|CL8060afda51|TL44d476274f||3|**Once per Turn Action** - {r}{r}{r}: **Attack**  If an Earth card was pitched to attack with this, the attack gets +1{p}.|Earth, Guardian, Weapon, Hammer, 1H
WGeb11486bdc|Star Fall|CWd56fff7138|CL7ddbb0abd6|TL71f4977891||1|**Once per Turn Action** - {r}: **Attack**  If you've played a Lightning card this turn, this card's attacks get +1{p} and **go again**.|Lightning, Runeblade, Weapon, Sword, 2H
WG2372e096e9|Rotwood Reaper|CWbc5296016b|CL7ddbb0abd6|TL44d476274f||2|**Once per Turn Action** - {r}{r}: **Attack**  If you've played or created an aura this turn, this gets +2{p}.|Earth, Runeblade, Weapon, Sword, 2H
WG8b9764b859|Staff of Verdant Shoots|CW9bc7b60e16|CLaf2c41eb4e|TL44d476274f|||**Once per Turn Action** - {r}{r}{r}: **Amp 1**. **Go again**  When one or more Earth cards are pitched this way, the next time you deal arcane damage this turn, create an Embodiment of Earth token.|Earth, Wizard, Weapon, Staff, 2H
WGd177a54c7c|Volzar, the Lightning Rod|CW448e5ff20d|CLaf2c41eb4e|TL71f4977891|||If you control an aura permanent with Sigil in its name, this costs {r} less to activate.  **Once per Turn Instant** - {r}: **Amp X**, where X is the number of Lightning cards you've played this turn.|Lightning, Wizard, Weapon, Staff, 2H
WGdca2f5beeb|Summit, the Unforgiving|CWdbdd3ea093|CL8060afda51|TL44d476274f, TLd53b257ba8||4|**Once per Turn Action** - {r}{r}{r} {r}{r}{r}: **Attack**  When this hits a hero, create a Frostbite token in their exposed head, chest, arms, or legs zone.  **Heavy** - If this is the only card equipped to your weapon zones, it gets +2{p}.|Earth, Ice, Guardian, Weapon, Polearm, 1H
WG96d60cb514|Graphene Chelicera|CW0893bf0a58|CLa055f8b49d|||1|**Stealth**  **Once per Turn Action** - {r}: **Attack**  When this attacks a **marked** hero, the attack gets **go again**.|Assassin, Token, Weapon, Dagger, 1H
WG273e1e40fb|Hunter's Klaive|CW1bd730f648|CLa055f8b49d|||1|**Once per Turn Action** - {r}{r}: **Attack**. **Go again**  When this hits a hero, **mark** them.  **Piercing 1**|Assassin, Weapon, Dagger, 1H
WG055ca6ae63|Kunai of Retribution|CWd6ba321686|CL04a4fce796|TL8d85e3583f||1|**Once per Turn Action** - {r}, destroy this when the combat chain closes: **Attack**. **Go again**|Draconic, Ninja, Weapon, Dagger, 1H
WGfbeaf6ce6f|Mark of the Huntsman|CW7c7fa6a5b3|CLa055f8b49d|||1|**Once per Turn Action** - {r}{r}: **Attack**. **Go again**  When this hits a hero, you may choose to destroy this and **mark** them.  If this is attacking a **marked** hero, this gets +1{p}.|Assassin, Weapon, Dagger, 1H
WG2638385089|Obsidian Fire Vein|CW90ab4447ee|CLf4c16fcffe|TL8d85e3583f||1|**Once per Turn Action** - {r}: **Attack**. If you've played a Draconic card this chain link, this attack gets +1{p} and **go again**.|Draconic, Warrior, Weapon, Dagger, 1H
WG83e90d9a2e|Bank Breaker|CW49409f0d99|CLc2defff067|||3|**Twice per Turn Action** - {r}: **Attack**. Activate this only if you've cranked this turn.  When this attacks, you may banish a card from under it. If you do, the attack gets **overpower** and **go again**.|Mechanologist, Weapon, Wrench, 2H
WGc026ae5b9c|Claw of Vynserakai|CW98b96687dd||TL8d85e3583f||1|**Once per Turn Action** - {r}: **Attack**  **Spellvoid 1**|Draconic, Weapon, Dagger, 1H
WG2680acf391|Cogwerx Blunderbuss|CWca91965793|CLc2defff067|||2|**Action** - {r}{r}, {t}: **Attack**  **Instant** - {t} a cog you control: This card's next attack this turn gets go again.|Mechanologist, Weapon, Gun, 2H
WGb2c8d5963d|Hammerhead, Harpoon Cannon|CWde72f3fccc|CL466f24c901, CLe8126c64c3||||**Action** - {r}{r}{r}{r}, {t}: Your next arrow attack this turn gets +4{p}. If it has harpoon in its name, it gets **overpower**. **Go again**|Pirate, Ranger, Weapon, Bow, Cannon, 2H
WG90b61e2db3|Redspine Manta|CWc2f0e0cc8f|CLe8126c64c3||||**Action** - {t}: Put an arrow from your hand face-up into your arsenal. **Go again**|Ranger, Weapon, Bow, 2H
WG7411dd3654|Spitfire|CWfa2ca509fa|CLc2defff067|||2|**Action** - {t}, {t} a cog you control: **Attack**  When this attacks, you may {t} a cog you control. If you do, the attack gets +1{p}.|Mechanologist, Weapon, Gun, 2H
WG2eb1e19d56|Moment Maker|CW9ea9cc24e1|CL8060afda51|TLb211e516e8||4|"**Once per Turn Action** - {r}{r}{r}: **Attack**  If you control 3 or more auras of suspense, this gets +2{p} and ""When this hits a hero, **the crowd cheers** you."""|Revered, Guardian, Weapon, Hammer, Axe, 2H
WGae8b23efe2|Farflight Longbow|CW77c89f65a4|CLe8126c64c3||||**Instant** - {r}, {t}: Put an arrow from your hand face-up into your arsenal.  Your arrow attacks may target any opposing hero or ally.|Ranger, Weapon, Bow, 2H
WG7a45b8d1c5|Savage Claw|CWb083db2181|CL48a111b581|||3|**Action** - {r}{r}, {t}: **Attack**  If a card with 6 or more {p} was pitched to attack with this, the attack gets +1{p}.|Brute, Weapon, Claw, 1H
WGc4b05259b9|Shield Beater|CWc0e5316e5d|CL8060afda51|||5|**Action** - {r}{r}{r}{r}, {t}: **Attack**  Cards you own named Visit Anvilheim get **go again**.|Guardian, Weapon, Hammer, 1H
WGb3eb806906|Zenith Blade|CWd083701c07|CLf4c16fcffe|||3|**Hala Specialization**  **Once per Turn Action** - {r}: **Attack**  If this has been sharpened this turn, its first attack this turn gets **go again**.|Warrior, Weapon, Sword, 2H
WG570df71cbf|Aphrodias|CW7c97fe936b|CLe7f74fadce|TL71f4977891|||**Instant** - {r}, {t}: Deal 2 arcane damage to target hero. Activate this only if an aura with a holo counter has entered the arena under your control this turn.|Lightning, Illusionist, Weapon, Orb, 2H
WG5d8f2cd923|Lionclaw Maul|CW295bff5a5f|CL8060afda51|TLc090c7fd61||1|**Action** - {r}{r}, {t}: **Attack**  If this has {p} greater than its base, it gets +1{p}.  When this hits a hero, **the crowd boos** you.|Reviled, Guardian, Weapon, Hammer, Axe, 1H
WG32dd800a8c|Pile Driver|CW66f7a7630e|CL8060afda51|||6|**Betsy Specialization**  **Action** - {r}{r}{r}{r}, {t}: **Attack**  When this attacks, you may **wager** a Gold token with the defending hero.|Guardian, Weapon, Log, 2H
WGe7c063c6c8|Scorpio, Comet Tail|CWc963ed33e0|CL7ddbb0abd6|TL71f4977891||1|**Action** - {t}: **Attack**. Activate this only if you control a Lightning attack.  When this hits a hero, deal 1 arcane damage to them.|Lightning, Runeblade, Weapon, Sword, 2H
WG4d8073641a|Volzar, Meteor Storm|CWbc41508508|CLaf2c41eb4e|TL71f4977891|||**Instant** - {t}: **Amp 1**. Activate this only if an instant card has been put into your graveyard this turn.|Lightning, Wizard, Weapon, Staff, 2H
