Name|Species|Status|Locations
Emperor|Human|Dead|[About](../heroes-of-rathe/emperor-about.md), [To Become a Dracai](../main-story/02-arcane-rising/playing-with-fire.md), [Dromai's Origin Story](../main-story/08-uprising/dragons-of-empire.md), [Fai's Origin Story](../main-story/08-uprising/fires-of-rebellion.md), [In Flames](../main-story/08-uprising/in-flames.md), [Ember in the Ash](../main-story/09-dynasty/ember-in-the-ash.md), [The One Emperor](../main-story/09-dynasty/emperor-the-one-emperor.md), [The Blood Stained Web](../main-story/09-dynasty/the-blood-stained-web.md), [Vow of Vigilence](../main-story/09-dynasty/vow-of-vigilence.md), [The Spider's Trap](../main-story/10-outsiders/the-spiders-trap.md), [Tidings in the Light](../main-story/10-outsiders/tidings-in-the-light.md)
Fai|Human|Alive|[About](../heroes-of-rathe/fai-about.md), [Origin Story](../main-story/08-uprising/fires-of-rebellion.md), [Dromai's Origin Story](../main-story/08-uprising/dragons-of-empire.md), [Ember in the Ash](../main-story/09-dynasty/ember-in-the-ash.md)
Florian|Human|Alive|[About](../heroes-of-rathe/florian-about.md), [Essence of Decay](../main-story/16-rosetta/essence-of-decay.md), [Roots of Change](../main-story/16-rosetta/roots-of-change.md), [Seeds of Renewal](../main-story/16-rosetta/seeds-of-renewal.md)
Genis|Human|Alive|[About](../heroes-of-rathe/genis-about.md)
Ira|Human|Unknown|[About](../heroes-of-rathe/ira-about.md), [Origin Story](../main-story/03-crucible-of-war/edge-of-autumn.md)
Iyslander|Human|Alive|[About](../heroes-of-rathe/iyslander-about.md), [Origin Story](../main-story/08-uprising/journey-into-the-forgotten.md)
Jules Teklovossen|Human|Alive|[Teklovossen's Workshop](../flavour/03-crucible-of-war.md#teklovossens-workshop---cru115), [Blessing of Ingenuity](../flavour/09-dynasty.md#blessing-of-ingenuity---dyn098),[The Dynamic Man](../main-story/12-bright-lights/the-dynamic-man.md)
Kano|Human|Alive|[About](../heroes-of-rathe/kano-about.md), [To Become a Dracai](../main-story/02-arcane-rising/playing-with-fire.md)
Kassai|Human|Unknown|[About](../heroes-of-rathe/kassai-about.md), [No Smoke Without Fire](../main-story/03-crucible-of-war/no-smoke-without-fire.md), [Bloodied Sands](../main-story/14-heavy-hitters/bloodied-sands.md), [Thirst for Revenge](../main-story/14-heavy-hitters/thirst-for-revenge.md)
Katsu|Human|Alive|[About](../heroes-of-rathe/katsu-about.md), [Origin Story](../main-story/01-welcome-to-rathe/wanderings-in-the-mists.md)
Kavdaen|Human|Alive|[About](../heroes-of-rathe/kavdaen-about.md)
Kayo|Brute|Alive|[About](../heroes-of-rathe/kayo-about.md), [Bloodied Sands](../main-story/14-heavy-hitters/bloodied-sands.md), [Untamed and Unbroken](../main-story/14-heavy-hitters/untamed-and-unbroken.md)
Levia|Alive||[About](../heroes-of-rathe/levia-about.md), [Origin Story](../main-story/04-monarch/destroy-and-consume.md)
Lexi|Human|Alive|[About](../heroes-of-rathe/lexi-about.md), [Origin Story](../main-story/05-tales-of-aria/wonders-of-the-wayfarer.md), [A Grand Adventure](../main-story/06-everfest/a-grand-adventure.md)
Maxx|Human|Alive|[About](../heroes-of-rathe/maxx-about.md), [Synthetic Futures](../main-story/12-bright-lights/synthetic-futures.md), [System Failure](../main-story/12-bright-lights/system-failure.md), [Maxx-imum Hype](../short-stories/12-bright-lights/maxx-imum-hype.md)
Melody|Human|Alive|[About](../heroes-of-rathe/melody-about.md), [Secret of the Aetherscribes](../main-story/16-rosetta/secret-of-the-aetherscribes.md), [Seeds of Renewal](../main-story/16-rosetta/seeds-of-renewal.md)
Nuu|Human|Alive|[About](../heroes-of-rathe/nuu-about.md), [Part 1: The Tiger in the Mist](../main-story/15-part-the-mistveil/part-1-the-tiger-in-the-mist.md), [Part 3: The Serpents Strike](../main-story/15-part-the-mistveil/part-3-the-serpents-strike.md), [Part 4: The Hare and the Snake](../main-story/15-part-the-mistveil/part-4-the-hare-and-the-snake.md)
Oldhim|Human|Alive|[About](../heroes-of-rathe/oldhim-about.md), [Origin Story](../main-story/05-tales-of-aria/the-broken-covenant.md), [A Grand Adventure](../main-story/06-everfest/a-grand-adventure.md)
Olympia|Human|Alive|[About](../heroes-of-rathe/olympia-about.md), [Another Day, Another Title](../main-story/14-heavy-hitters/another-day-another-title.md), [Bloodied Sands](../main-story/14-heavy-hitters/bloodied-sands.md)
Oscilio||Alive|[About](../heroes-of-rathe/oscilio-about.md), [Secret of the Aetherscribes](../main-story/16-rosetta/secret-of-the-aetherscribes.md), [Seeds of Renewal](../main-story/16-rosetta/seeds-of-renewal.md)
Prism|Human|Alive|[About](../heroes-of-rathe/prism-about.md), [Stories of Illumination](../main-story/04-monarch/stories-of-illumination.md), [Step Into the Light](../main-story/04-monarch/step-into-the-light.md)
Rhinar|Brute|Alive|[About](../heroes-of-rathe/rhinar-about.md), [Kill Or Be Killed](../main-story/01-welcome-to-rathe/kill-or-be-killed.md), [Bloodied Sands](../main-story/14-heavy-hitters/bloodied-sands.md)
Riptide|Human|Alive|[About](../heroes-of-rathe/riptide-about.md), [The Spider's Trap](../main-story/10-outsiders/the-spiders-trap.md)
Shiyana|Human|Alive|[About](../heroes-of-rathe/shiyana-about.md), [Tidings in the Light](../main-story/10-outsiders/tidings-in-the-light.md), [Iyslander's Origin Story](../main-story/08-uprising/journey-into-the-forgotten.md)
Taipanis|Human|Unknown|[About](../heroes-of-rathe/other.md)
Taylor|Human|Unknown|[About](../heroes-of-rathe/other.md)
Terra||Alive|[About](../heroes-of-rathe/terra-about.md)
Uzuri|Human|Alive|[About](../heroes-of-rathe/uzuri-about.md), [The Spider's Trap](../main-story/10-outsiders/the-spiders-trap.md)
Valda|Human|Alive|[About](../heroes-of-rathe/valda-about.md)
Verdance|Rosetta|Alive|[About](../heroes-of-rathe/verdance-about.md), [Essence of Decay](../main-story/16-rosetta/essence-of-decay.md), [Roots of Change](../main-story/16-rosetta/roots-of-change.md), [Seeds of Renewal](../main-story/16-rosetta/seeds-of-renewal.md)
Victor Goldmane|Human|Alive|[About](../heroes-of-rathe/victor-goldmane-about.md),[That All You Got?](../flavour/08-uprising.md#that-all-you-got---upr189), [Bloodied Sands](../main-story/14-heavy-hitters/bloodied-sands.md)
Viserai||Alive|[About](../heroes-of-rathe/viserai-about.md), [Origin Story](../main-story/02-arcane-rising/birth-of-the-arknight.md), [Sutcliffe's Research Notes](../main-story/03-crucible-of-war/sutcliffes-research-notes.md)
Vynnset|Human|Alive|[About](../heroes-of-rathe/vynnset-about.md), [Anointed in Shadow](../main-story/11-dusk-till-dawn/anointed-in-shadow.md), [Falling in Shadow](../main-story/11-dusk-till-dawn/falling-in-darkness.md), [No Pain, No Gain](../short-stories/11-dusk-till-dawn/no-pain-no-gain.md)
Yoji|Human|Alive|[About](../heroes-of-rathe/yoji-about.md), [The One Emperor](../main-story/09-dynasty/emperor-the-one-emperor.md), [Vow of Vigilence](../main-story/09-dynasty/vow-of-vigilence.md)
Yorick|Human|Alive|[About](../heroes-of-rathe/other.md), [A Grand Adventure](../main-story/06-everfest/a-grand-adventure.md)
Zen|Human|Alive|[About](../heroes-of-rathe/zen-about.md), [Part 1: The Tiger in the Mist](../main-story/15-part-the-mistveil/part-1-the-tiger-in-the-mist.md), [Part 4: The Hare and the Snake](../main-story/15-part-the-mistveil/part-4-the-hare-and-the-snake.md)
Jackdaw|Human|Alive|[Pitfall Trap](../flavour/03-crucible-of-war.md#pitfall-trap---cru127), [Out Muscle](../flavour/04-monarch.md#out-muscle---mon248), [Pay Day](../flavour/09-dynasty.md#pay-day---dyn123), [Slings and Arrows](../main-story/02-arcane-rising/slings-and-arrows.md)
Theodore Hamilton Scarborough|Human|Unknown|[Call of Adventure](../world-of-rathe/savage-lands/call-of-adventure.md#call-of-adventure), [Legends and Fools](../world-of-rathe/savage-lands/legends-and-fools.md), [Poison the Tips](../digital-tiles/03-crucible-of-war/crucible-of-war.md#poison-the-tips), [Skullhorn](../digital-tiles/03-crucible-of-war/crucible-of-war.md#skullhorn)
Davnir|Ancient of Earth and Lightning|Dead|[Amongst the Brambles](../main-story/05-tales-of-aria/amongst-the-brambles.md), [Roots of Change](../main-story/16-rosetta/roots-of-change.md), [Essence of Decay](../main-story/16-rosetta/essence-of-decay.md), [Seeds of Renewal](../main-story/16-rosetta/seeds-of-renewal.md), [Roll of Honor: Briar](../short-stories/roll-of-honour/briar.md)
Queen of Candlehold|Rosetta|Gone|[Amongst the Brambles](../main-story/05-tales-of-aria/amongst-the-brambles.md), [Roots of Change](../main-story/16-rosetta/roots-of-change.md)
Magnus the Vigilant|Human|Unknown|[Blessing of Serenity](../digital-tiles/03-crucible-of-war/crucible-of-war.md#blessing-of-serenity), [Bravo's Origin Story](../main-story/01-welcome-to-rathe/a-rising-star.md)
Írunaméabh|Unkown|Unknown|[Metacarpus Node](../digital-tiles/03-crucible-of-war/crucible-of-war.md#metacarpus-node)
General Ekoda|Human|Unknown|[Spoils of War](../digital-tiles/03-crucible-of-war/crucible-of-war.md#spoils-of-war)
Lord Sabuto|Human|Unknown|[Spoils of War](../digital-tiles/03-crucible-of-war/crucible-of-war.md#spoils-of-war)
Lord Sutcliffe|Human|Just a head|[Lord Sutcliffe](../other-characters/lord-sutcliffe.md), [Sutcliffe's Research Notes](../main-story/03-crucible-of-war/sutcliffes-research-notes.md), [Sutcliffe's Research Notes (card)](../digital-tiles/03-crucible-of-war/crucible-of-war.md#sutcliffes-research-notes), [Viserai Hero Page](../heroes-of-rathe/viserai-about.md), [Viserai's Origin Story](../main-story/02-arcane-rising/birth-of-the-arknight.md), [Levia's Origin Story](../main-story/04-monarch/destroy-and-consume.md), [Nebula Blade](../weapons/nebula-blade.md)
Akuo|Human|Unknown|[Concealed Blade](../flavour/10-outsiders.md#concealed-blade---out143)
Suraj the Oracle|Human|Unknown|[Destructive Deliberation](../flavour/10-outsiders.md#destructive-deliberation---out206)
Achlys, hag of Mojire|Human|Unknown|[Frailty](../flavour/10-outsiders.md#frailty---out235), [Dr. Mortimer](../other-characters/krest-mortimer.md)
Lena Belle|Human|Alive|[Squeaker's Christmas](../main-story/10-outsiders/squeakers-christmas.md), [Freewheeling Renegades](../flavour/10-outsiders.md#freewheeling-renegades---out211), [Timesnap Potion](../flavour/01-welcome-to-rathe.md#timesnap-potion---wtr172),[System Failure](../main-story/12-bright-lights/system-failure.md)
Dr. Krest Mortimer, 'The Fixer'|Human|Alive|[Back Alley Breakline](../flavour/02-arcane-rising.md#back-alley-breakline---arc176), [Inertia](../flavour/10-outsiders.md#inertia---out236), [Malign](../flavour/10-outsiders.md#malign---out032), [Arakni, Solitary Confinement](../main-story/10-outsiders/the-iconoclast-trials.md)
Otmar|Human|Unknown|[Plunge](../flavour/10-outsiders.md#plunge---out152)
Flannigan|Human|Unknown|[Debilitate](../flavour/01-welcome-to-rathe.md#debilitate---wtr066)
Lieutenant Timaeus|Human|Unknown|[Driving Blade](../flavour/01-welcome-to-rathe.md#driving-blade---wtr144)
Mabon|Human|Unknown|[Potion of Strength](../flavour/01-welcome-to-rathe.md#potion-of-strength---wtr171)
Bartrand the Bloody|Human|Unknown|[Raging Onslaught](../flavour/01-welcome-to-rathe.md#raging-onslaught---wtr188)
Ragnar Frosthelm|Human|Unknown|[Staunch Response](../flavour/01-welcome-to-rathe.md#staunch-response---wtr051)
Graham the Gallant|Human|Unknown|[Come to Fight](../flavour/02-arcane-rising.md#come-to-fight---arc203)
Vera|Human|Unknown|[Fate Foreseen](../flavour/02-arcane-rising.md#fate-foreseen---arc200)
Xaine, Runescribe|Human|Dead|[Index](../flavour/02-arcane-rising.md#index---arc135),[Beseech the Demigon](../flavour/11-dusk-till-dawn.md#beseech-the-demigon---dtd189)
Lieutenant Yamada|Human|Dead|[Lead the Charge](../flavour/02-arcane-rising.md#lead-the-charge---arc209),[Hunter and Hunted Both](../main-story/17-the-hunted/hunter-and-hunted-both.md),[Children of Chaos](../main-story/17-the-hunted/children-of-chaos.md),[Sworn Vengeance](../flavour/17-the-hunted.md#sworn-vengeance---hnt140)
Ateia|Unknown|Unknown|[Life for a Life](../flavour/02-arcane-rising.md#life-for-a-life---arc164)
Jeeves|Human|Unknown|[Rifting](../flavour/02-arcane-rising.md#rifting---arc194)
Elias Edgecombe|Human|Unknown|[Throttle](../flavour/02-arcane-rising.md#throttle---arc023)
Eldon, Lost Knight|Human|Unknown|[Tome of the Arknight](../flavour/02-arcane-rising.md#tome-of-the-arknight---arc084)
Maxwell|Human|Unknown|[Zipper Hit](../flavour/02-arcane-rising.md#zipper-hit---arc029)
Togark the Wrangler|Human|Dead|[Barraging Big Horn](../flavour/03-crucible-of-war.md#barraging-big-horn---cru010), [Roll of Honor: Rhinar](../short-stories/roll-of-honour/rhinar.md)
Septus|Unknown|Unknown|[Brutal Assault](../flavour/03-crucible-of-war.md#brutal-assault---cru192)
Jarl Vetreidi|Human|Unknown|[Mangle](../flavour/03-crucible-of-war.md#mangle---cru026)
Linnea, Mistress of Malady|Human|Unknown|[Rousing Aether](../flavour/03-crucible-of-war.md#rousing-aether---cru171)
Greenbird|Human|Alive|[A Bird in the Hand](../main-story/02-arcane-rising/a-bird-in-the-hand.md),[Blackjack's Mercenary Group](../world-of-rathe/pits/blackjacks-mercenary-group.md#greenbird),[Sleep Dart](../flavour/03-crucible-of-war.md#sleep-dart---cru132)
Butcher Jek|Human|Unknown|[Snag](../flavour/03-crucible-of-war.md#snag---cru182)
Thuk|Brute|Unknown|[Swing Fist, Think Later](../flavour/03-crucible-of-war.md#swing-fist-think-later---cru019)
Spokes|Human|Unknown|[Tripwire Trap](../flavour/03-crucible-of-war.md#tripwire-trap---cru126)
Hala Goldenhelm|Human|Unknown|[Unified Decree](../flavour/03-crucible-of-war.md#unified-decree---cru083), [Blessing of Steel](../flavour/09-dynasty.md#blessing-of-steel---dyn073)
Sanni|Human|Unknown|[Adrenaline Rush](../flavour/04-monarch.md#adrenaline-rush---mon263)
Aurea, Champion of the Dawn|Human|Unknown|[Battlefield Blitz](../flavour/04-monarch.md#battlefield-blitz---mon036)
Ersebet|Unknown|Unknown|[Blood Tribute](../flavour/04-monarch.md#blood-tribute---mon215)
Harland|Unknown|Unknown|[Boneyard Marauder](../flavour/04-monarch.md#boneyard-marauder---mon135)
Amira Surana|Unknown|Unknown|[Enigma Chimera](../flavour/04-monarch.md#enigma-chimera---mon098),[Flicker Trick](../flavour/11-dusk-till-dawn.md#flicker-trick---dtd218)
Bellona, the Wartune Herald|Herald|Unknown|[Express Lightning](../flavour/04-monarch.md#express-lightning---mon051), [Wartune Herald](../flavour/04-monarch.md#wartune-herald---mon026), [Boltyn About](../heroes-of-rathe/boltyn-about.md), [Boltyn Origin Story](../main-story/04-monarch/sworn-to-protect.md), [Prism Origin Story](../main-story/04-monarch/stories-of-illumination.md), [Step Into The Light](../main-story/04-monarch/step-into-the-light.md)
Chiara Suncrest|Unknown|Unknown|[Express Lightning](../flavour/04-monarch.md#express-lightning---mon051)
Suraya, Archangel of Knowledge|Herald|Unknown|[Herald of Erudition](../flavour/04-monarch.md#herald-of-erudition---mon004), [Prism Origin Story](../main-story/04-monarch/stories-of-illumination.md), [Step Into The Light](../main-story/04-monarch/step-into-the-light.md)
Themis, Keeper of the Scales|Herald|Unknown|[Herald of Judgment](../flavour/04-monarch.md#herald-of-judgment---mon007), [Prism Origin Story](../main-story/04-monarch/stories-of-illumination.md)
Aegis, the Shield of Light|Herald|Unknown|[Herald of Protection](../flavour/04-monarch.md#herald-of-protection---mon014), [Prism Origin Story](../main-story/04-monarch/stories-of-illumination.md)
Avalon, Messenger of the Dawn|Herald|Unknown|[Herald of Rebirth](../flavour/04-monarch.md#herald-of-rebirth---mon020), [Prism Origin Story](../main-story/04-monarch/stories-of-illumination.md)
Victoria, Archangel of Triumph|Herald|Unknown|[Stories of Illumination](../main-story/04-monarch/stories-of-illumination.md)
Metis, Archangel of Tenacity|Herald|Unknown|[Stories of Illumination](../main-story/04-monarch/stories-of-illumination.md)
Sekem, Archangel of Ravages|Herald|Unknown|[Stories of Illumination](../main-story/04-monarch/stories-of-illumination.md)
Merlen Rivera|Human|Unknown|[Illuminate](../flavour/04-monarch.md#illuminate---mon072)
Kirigami|Unknown|Unknown|[Nourishing Emptiness](../flavour/04-monarch.md#nourishing-emptiness---mon246)
Vidya Willowmere|Unknown|Unknown|[Rise Above](../flavour/04-monarch.md#rise-above---mon257)
Harold Honeysett|Human|Unknown|[Smash with Big Tree](../flavour/04-monarch.md#smash-with-big-tree---mon226)
Chancellor Helena Primavera|Human|Unknown|[Soul Shield](../flavour/04-monarch.md#soul-shield---mon063)
Danu Ashenguard|Human|Unknown|[Spill Blood](../flavour/04-monarch.md#spill-blood---mon109)
Chancellor Hypatia|Human|Unknown|[Take Flight](../flavour/04-monarch.md#take-flight---mon054)
Grand Magister, the Devout|Human|Assumed Dead|[The Grand Council](../world-of-rathe/solana/the-grand-council.md#first-grand-magister)
Grand Magister, the Adamant|Human|Assumed Dead|
Grand Magister, the Radiant|Human|Assumed Dead|[Tome of Divinity](../flavour/04-monarch.md#tome-of-divinity---mon065), [Nebula Blade](../weapons/nebula-blade.md)
Grand Magister, the Beloved|Human|Assumed Dead|
Grand Magister, the Steadfast|Human|Alive|[The Order of the Light](../world-of-rathe/solana/the-order-of-the-light.md#grand-magister), [Tidings in the Light](../main-story/10-outsiders/tidings-in-the-light.md)
Aelius|Human|Dead|[Nebula Blade](../weapons/nebula-blade.md)
Astra Morena|Unknown|Unknown|[Valiant Thrust](../flavour/04-monarch.md#valiant-thrust---mon039)
Nestus|Unknown|Unknown|[Void Wraith](../flavour/04-monarch.md#void-wraith---mon209)
Valgard Hoarfrost|Human|Unknown|[Biting Gale](../flavour/05-tales-of-aria.md#biting-gale---ele007)
Lishu, Crimson Haze Vigilante|Human|Unknown|[Lightning Press](../flavour/05-tales-of-aria.md#lightning-press---ele183)
Astier|Human|Unknown|[Bingo](../flavour/06-everfest.md#bingo---evr156)
Efaris Brittlebone|Human|Unknown|[Emeritus Scolding](../flavour/06-everfest.md#emeritus-scolding---evr125)
Jezabelle, Everfest Healer and Allsorts|Human|Unknown|[Healing Potion](../flavour/06-everfest.md#healing-potion---evr183), [Potion of Ironhide](../flavour/06-everfest.md#potion-of-ironhide---evr186), [Potion of Luck](../flavour/06-everfest.md#potion-of-luck---evr187), [Potion of Seeing](../flavour/06-everfest.md#potion-of-seeing---evr184)
Master Morita, Art of the Hand|Human|Unknown|[Wax On](../flavour/06-everfest.md#wax-on---evr050),[Wax Off](../flavour/12-bright-lights.md#wax-off---evo239),[Roll of Honor: Zen](../short-stories/roll-of-honour/zen.md)
Yunkai|Human|Unknown|[Flex](../flavour/08-uprising.md#flex---upr191)
Aesir of Flames|Aesir|Unknown|[Invoke Dracona Optimai](../flavour/08-uprising.md#invoke-dracona-optimai---upr006)
Raven, Aesir of Chaos|Aesir|Unknown|[Dr. Mortimer](../other-characters/krest-mortimer.md)
General Nakami|Human|Unknown|[Blessing of Patience](../flavour/09-dynasty.md#blessing-of-patience---dyn033),[Lair of the Spider](../flavour/17-the-hunted.md#lair-of-the-spider---hnt191)
Grandmaster Li|Human|Unknown|[Mindstate of Tiger](../flavour/09-dynasty.md#mindstate-of-tiger---dyn048)
Eirina|Human Cleric|Dead|[Boltyn About](../heroes-of-rathe/boltyn-about.md)
Aios|Human|Alive|[Boltyn About](../heroes-of-rathe/boltyn-about.md)
Whitetail|Human|Alive|[The Spider's Trap](../main-story/10-outsiders/the-spiders-trap.md), [Uzuri, Switchblade](../main-story/10-outsiders/its-just-business.md)
Baron the Butcher|Human|Dead|[Uzuri, Switchblade](../main-story/10-outsiders/its-just-business.md)
Madam Rouge|Human|Dead|[Uzuri, Switchblade](../main-story/10-outsiders/its-just-business.md)
Jemjang|Human|Dead|[Uzuri, Switchblade](../main-story/10-outsiders/its-just-business.md),[Cleanse the Corruption](../main-story/17-the-hunted/cleanse-the-corruption.md),[Children of Chaos](../main-story/17-the-hunted/children-of-chaos.md)
Njeri|Human|Unknown|[Uzuri, Switchblade](../main-story/10-outsiders/its-just-business.md)
Hisato|Human|Unknown|[Uzuri, Switchblade](../main-story/10-outsiders/its-just-business.md)
Overseer Crichton|Human|Dead|[Uzuri, Switchblade](../main-story/10-outsiders/its-just-business.md)
Squidge|Human|Dead|[It's a Trap!](../short-stories/10-outsiders/its-a-trap.md)
Pinwheel|Human|Dead|[Aiming High](../short-stories/10-outsiders/aiming-high.md)
Bazz|Human|Dead|[Aiming High](../short-stories/10-outsiders/aiming-high.md)
One Eye|Human|Alive|[Unity In Light](../main-story/11-dusk-till-dawn/unity-in-light.md)
Thebasto, Magister of Defense|Human|Alive|[Falling In Darkness](../main-story/11-dusk-till-dawn/falling-in-darkness.md)
Caylin|Human|Dead|[Falling In Darkness](../main-story/11-dusk-till-dawn/falling-in-darkness.md)
Caylin's mother|Human|Dead|[Falling In Darkness](../main-story/11-dusk-till-dawn/falling-in-darkness.md)
Apostate|Human|Unknown|[Falling In Darkness](../main-story/11-dusk-till-dawn/falling-in-darkness.md), [Step Into The Light](../main-story/04-monarch/step-into-the-light.md), [The Battle Against the Shadow](../world-of-rathe/solana/the-battle-against-the-shadow.md),[Weeping Battleground](../flavour/19-compendium-of-rathe.md#weeping-battleground---pen105)
Fyanna Redmoor, Boltyn's cousin|Human|Unknown|[Boltyn's hero page](../heroes-of-rathe/boltyn-about.md)
Galaphor|Human|Dead|[Living on a Prayer](../short-stories/11-dusk-till-dawn/living-on-a-prayer.md)
Dheric|Human|Dead|[No Pain No Gain](../short-stories/11-dusk-till-dawn/no-pain-no-gain.md)
Darian|Human|Dead|[No Pain No Gain](../short-stories/11-dusk-till-dawn/no-pain-no-gain.md)
Daxius|Human|Dead|[No Pain No Gain](../short-stories/11-dusk-till-dawn/no-pain-no-gain.md)
Templar Timaerus|Human|Unknown|[Charge of the Light Brigade](../flavour/11-dusk-till-dawn.md#charge-of-the-light-brigade---dtd074)
Barus Boldstride|Human|Unknown|[Hold the Line](../flavour/11-dusk-till-dawn.md#hold-the-line---dtd228)
Bam Bam|Brute|Unknown|[Numbskull](../flavour/11-dusk-till-dawn.md#numbskull---dtd201)
Rigo|Robot|Spider-bot assistant to Jules Teklovossen|[The Dynamic Man](../main-story/12-bright-lights/the-dynamic-man.md)
Ricky Royce|Human|Unknown|[Full Steam Ahead](../main-story/02-arcane-rising/full-steam-ahead.md),[Needle in a Haystack](../main-story/02-arcane-rising/needle-in-a-haystack.md),[System Failure](../main-story/12-bright-lights/system-failure.md),[Snatch](https://fabrary.net/cards?query=snatch), [Roll of Honor: Dash](../short-stories/roll-of-honour/dash.md)
Rez|Human|Unknown|[Synthetic Futures](../main-story/12-bright-lights/synthetic-futures.md),[Boom Town Boom](../main-story/17-the-hunted/boom-town-boom.md)
Thiroux|Human|Unknown|[Full Steam Ahead](../main-story/02-arcane-rising/full-steam-ahead.md),[Stroke of Genius](../main-story/02-arcane-rising/stroke-of-genius.md),[Synthetic Futures](../main-story/12-bright-lights/synthetic-futures.md), [Roll of Honor: Dash](../short-stories/roll-of-honour/dash.md),[Boom Town Boom](../main-story/17-the-hunted/boom-town-boom.md)
Dr. Wyverstone|Human|Unknown|[Stroke of Genius](../main-story/02-arcane-rising/stroke-of-genius.md),[Synthetic Futures](../main-story/12-bright-lights/synthetic-futures.md), [Roll of Honor: Dash](../short-stories/roll-of-honour/dash.md)
Synthea Teklo|Human|Unknown|[Synthetic Futures](../main-story/12-bright-lights/synthetic-futures.md),[Data Link](../flavour/12-bright-lights.md#data-link---evo188),[Boom Town Boom](../main-story/17-the-hunted/boom-town-boom.md)
Rex Biggun|Human|Unknown|[Big Shot](../flavour/12-bright-lights.md#big-shot---evo153)
Huxley|Human|Unknown|[Cognition Field](../flavour/12-bright-lights.md#cognition-field---evo117)
Kyle|Human|Unknown|[Infuse Titanium](../flavour/12-bright-lights.md#infuse-titanium---evo123)
Taskmaster Pyrion|Human|Unknown|[Liquid-Cooled Mayhem](../flavour/12-bright-lights.md#liquid-cooled-mayhem---evo065)
Executive Smyte|Human|Unknown|[Mechanical Strength](../flavour/12-bright-lights.md#mechanical-strength---evo067)
Sandy Shoo|Human|Unknown|[Out Pace](../flavour/12-bright-lights.md#out-pace---evo206)
Professor Min|Human|Unknown|[Ratchet Up](../flavour/12-bright-lights.md#ratchet-up---evo107)
Prospector Cogmire|Human|Unknown|[Scrap Harvester](../flavour/12-bright-lights.md#scrap-harvester---evo132)
Enforcer Eesha|Human|Unknown|[Steel Street Enforcement](../flavour/12-bright-lights.md#steel-street-enforcement---evo060)
