# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: Use the Story class in src/data/story.py (Story.link_monster / link_fauna / link_flora / link_food_drink / link_location).
FaunaId|Name|Description
FAf408e962cb|Cesari|Ethereal creatures borne of magic, fading in and out of existence based on the ebb and wane of the Flow. While they appear sentient, Cesari are mirages, mere echoes of ancient beings that once called Aria home. They appear as iridescent, semi-translucent phantoms, shimmering as they ripple through the air. Cesari can range in size from small, floating wisps that drift along with the breeze, to massive, twin-tailed creatures the size of comets, leaving streaks of vibrant light in their wake.
FA358993be7c|Azeri|The Azeri are elusive and mysterious, lingering in the innermost depths of the Savage Lands.
FA0b949f26e2|Rek'vas|A swift and deadly creature, the Rek'vas has brightly patterned scales that are highly toxic. Its massive head is framed by some form of hood, brightly coloured skin that flares from either side of its neck.
FA7565189539|Skera|One of the Savage Lands' most skilled predators, they are almost completely nocturnal, relying on the darkness to help mask their movements while stalking prey. Their four eyes are likely to help it see in the dark, in order to hunt its prey. Avoid their poisonous spikes at all costs. The barb at the end of its tail is also highly toxic. Large, muscular creatures with two pairs of eyes, and long, curved claws similar to talons. Skera are covered in a mixture of fur and spikes, patterned with dark, irregular spots. While the spikes do not appear to be poisonous, they do make it rather difficult to dissect.
FA1f10fd1984|Peluda|A large creature, the Peluda moves surprisingly quickly given its size, with a thick fur coat interspersed with sharp spikes. Its muscular legs are the source of its apparent speed. Its muscular tail is capable of sweeping any animal off of its feet, leaving it vulnerable to the peluda's deadly hooked claws. While the tail appears to have a stinger, further tests have shown that the barb does not contain any form of toxin.
FA9f5e75235f|Ank'is|The crystalline creature does not bleed. It shatters. Its teeth are harder than stone, with serrated edges and a needle-like tip to tear through flesh. Its limbs are long and thin, with sharp points to allow it to grip onto most surfaces, and scale the difficult terrain of the Savage Lands.
FA2cf48e2ed0|Brawnhide|A giant, furred beast with long, thick canines, and small, dark eyes. Its long fur protects most of its body, dark grey in colour, fading to an off-white at the tips. It appears to make up for its poor sight through its incredibly powerful sense of small - I have witnessed it track prey through the jungle by scent alone. Their canines are almost impossible to break, both thick and incredibly strong. The brawnhide has a set of claws at the base of their feet, though their feet are far too large and their legs too short for the claws to be of any use.
FAa5ab92bf98|Blindseal|Blubbery
FAd995691c9f|Bloatfin|
FA83cf5b77b9|Raciki|Shapeshifting, fluffy canine
FAb97e3a4422|Rowbug|
FA242e1cb3fe|Scarbit|
FA801ed8ccd4|Desert Fox|The creature's mouth warped by two large boar-like tusks
FA1c1a7ee868|Flare Deer|Its scent glands swollen with massive oozing growths
FAd1f4884375|Giant Drift Stingers|Scorpion
FA8c85b7ba2f|Gossamhares|Scittish creatures
FA517ffce87a|Hydra|A sea creature with boat-sized flippers, three heads and perhaps as large as three whales, end on end
FA686d22d695|Kraken|
FA831c01548e|Chirpwhisk|
FAdae735d957|Siren|Enchanting merfolk who lure sailors with song and beauty - gifts please them, but poor offerings may cost you dearly.
FA4895efe22d|Rock Turtle|
FA7527554de7|Cyanatu|A rare sea snake
FAecb6db7b25|Cursed Dhani Warriors|Scorpion tails, claws and human head
FAcf5a312db5|Hoikers|Giant, acid-spitting scallops
FA4a332a5def|Sailorbane Coral|A predatory species, Sailorbane Coral grows from the rocky banks of channels, remaining submerged to conceal its presence.
FA1767fef132|Boned Eel|
FA3e42b53c29|Kneecapper Crustacean|They have foot-long pincers
FAcb3b255c72|Sawmaw|Triple-finned
FAd8efb2e4fe|Gupler|Moon-shaped
FAaee1610e81|Maggot Gull|
FA2df821a03c|Sea Spider|
FAd1b3a39136|Welkin|A wyvern species native to Aria. At first glance, the welkin resembles large, winged lizards. They have a leathery skin that, like the chameleon, changes color with variations in the Flow.
