# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: python3 src/data/create_heroes_csv.py
HeroGameId|SetId|CardId|Rarity
HG07091db490|HER|HER021|P
HG07091db490|HER|HER105|P
HG07091db490|HVY|HVY003|M
HG07091db490|RNR|RNR001|C
HG07091db490|WIN|WIN001|P
HG07091db490|WTR|WTR001|T
HG1d2e3423ed|1HP|1HP222|C
HG1d2e3423ed|ARC|ARC039|T
HG1d2e3423ed|AZL|AZL001|C
HG1d2e3423ed|HER|HER014|P
HG1d2e3423ed|HER|HER071|P
HG1d2e3423ed|OUT|OUT090|T
HGc51436acf5|1HP|1HP221|C
HGc51436acf5|AAZ|AAZ001|R
HGc51436acf5|ARC|ARC038|T
HGc51436acf5|CRU|CRU119|C
HGc51436acf5|HER|HER010|P
HGc51436acf5|HER|HER018|P
HGc51436acf5|OUT|OUT089|T
HGc51436acf5|WIN|WIN006|P
HG907ac83aa3|1HP|1HP181|C
HG907ac83aa3|ARC|ARC002|T
HG907ac83aa3|HER|HER013|P
HG907ac83aa3|HER|HER070|P
HGf097fdd827|1HP|1HP180|C
HGf097fdd827|ARC|ARC001|T
HGf097fdd827|CRU|CRU098|C
HGf097fdd827|HER|HER009|P
HGf097fdd827|HER|HER017|P
HGf097fdd827|WIN|WIN005|P
HG2d709443f5|1HP|1HP302|C
HG2d709443f5|ARC|ARC114|T
HG2d709443f5|HER|HER016|P
HG2d709443f5|HER|HER072|P
HG08f45375f7|1HP|1HP301|C
HG08f45375f7|ARC|ARC113|T
HG08f45375f7|CRU|CRU158|C
HG08f45375f7|HER|HER012|P
HG08f45375f7|HER|HER020|P
HG08f45375f7|WIN|WIN008|P
HGea38c25662|1HP|1HP259|C
HGea38c25662|ARC|ARC076|T
HGea38c25662|HER|HER015|P
HG3bc5f95622|1HP|1HP258|C
HG3bc5f95622|ARC|ARC075|T
HG3bc5f95622|AVS|AVS001|M
HG3bc5f95622|CRU|CRU138|C
HG3bc5f95622|HER|HER011|P
HG3bc5f95622|HER|HER019|P
HG3bc5f95622|HER|HER127|P
HG3bc5f95622|WIN|WIN007|P
HG58fae43d1c|1HP|1HP088|R
HG58fae43d1c|BEN|BEN001|C
HG58fae43d1c|CRU|CRU047|R
HG58fae43d1c|HER|HER026|P
HG58fae43d1c|OUT|OUT047|T
HG1a677e356d|1HP|1HP182|R
HG1a677e356d|CRU|CRU099|R
HG1a677e356d|HER|HER027|P
HG7b73efbb43|1HP|1HP140|R
HG7b73efbb43|CRU|CRU077|R
HG7b73efbb43|HER|HER029|P
HG71b01de5e9|1HP|1HP220|R
HG71b01de5e9|CRU|CRU118|R
HG71b01de5e9|HER|HER028|P
HG416d888670|1HP|1HP003|R
HG416d888670|CRU|CRU002|R
HG416d888670|HER|HER025|P
HGa5191f34c8|CRU|CRU097|L
HG050e89d4af|BOL|BOL001|R
HG050e89d4af|DTD|DTD045|C
HG050e89d4af|HER|HER035|P
HG050e89d4af|MON|MON030|T
HG6dc7b55525|ASB|ASB001|R
HG6dc7b55525|DTD|DTD044|C
HG6dc7b55525|HER|HER031|P
HG6dc7b55525|HER|HER039|P
HG6dc7b55525|MON|MON029|T
HG6dc7b55525|WIN|WIN010|P
HG97af87bde2|CHN|CHN001|R
HG97af87bde2|HER|HER037|P
HG97af87bde2|MON|MON154|T
HG8475b31caa|HER|HER033|P
HG8475b31caa|HER|HER041|P
HG8475b31caa|MON|MON153|T
HG8475b31caa|WIN|WIN012|P
HGd8e7909db6|DTD|DTD104|C
HGd8e7909db6|HER|HER036|P
HGd8e7909db6|LEV|LEV001|R
HGd8e7909db6|MON|MON120|T
HGfa56ccc7b5|DTD|DTD103|C
HGfa56ccc7b5|HER|HER032|P
HGfa56ccc7b5|HER|HER040|P
HGfa56ccc7b5|MON|MON119|T
HGfa56ccc7b5|WIN|WIN011|P
HG8445a42c91|HER|HER034|P
HG8445a42c91|MON|MON002|T
HG8445a42c91|PSM|PSM001|R
HG8601c9a46e|APR|APR001|M
HG8601c9a46e|HER|HER030|P
HG8601c9a46e|HER|HER038|P
HG8601c9a46e|HER|HER069|P
HG8601c9a46e|MON|MON001|T
HG8601c9a46e|WIN|WIN009|P
HGcca8dd7a3a|BRI|BRI001|R
HGcca8dd7a3a|ELE|ELE063|T
HGcca8dd7a3a|HER|HER047|P
HGcca8dd7a3a|HER|HER064|P
HGcca8dd7a3a|ROS|ROS255|V
HGcca8dd7a3a|XXX|XXX011|P
HG220501d18e|ELE|ELE062|T
HG220501d18e|HER|HER044|P
HG220501d18e|HER|HER050|P
HG220501d18e|HER|HER063|P
HG220501d18e|ROS|ROS254|V
HG220501d18e|WIN|WIN015|P
HG220501d18e|XXX|XXX012|P
HG6720941105|ELE|ELE032|T
HG6720941105|HER|HER046|P
HG6720941105|LXI|LXI001|R
HGb3de3d9fa4|ELE|ELE031|T
HGb3de3d9fa4|HER|HER043|P
HGb3de3d9fa4|HER|HER049|P
HGb3de3d9fa4|WIN|WIN014|P
HGafd308d3bf|ELE|ELE002|T
HGafd308d3bf|HER|HER045|P
HGafd308d3bf|OLD|OLD001|R
HGc9e92620e5|ELE|ELE001|T
HGc9e92620e5|HER|HER042|P
HGc9e92620e5|HER|HER048|P
HGc9e92620e5|WIN|WIN013|P
HG871c3ec849|EVR|EVR017|M
HG871c3ec849|WIN|WIN016|P
HG63606518eb|EVR|EVR085|M
HG63606518eb|HER|HER053|P
HGf79e422b28|EVR|EVR120|M
HGf79e422b28|HER|HER052|P
HGf79e422b28|UPR|UPR103|T
HGf79e422b28|UPR|UPR103|V
HG2c394bcfc7|EVR|EVR019|M
HG2c394bcfc7|HER|HER051|P
HG2c394bcfc7|MPG|MPG002|T
HG2c394bcfc7|MPG|MPG002|V
HGaef6825acf|DVR|DVR001|M
HG86eaf5a5cf|DRO|DRO001|R
HG86eaf5a5cf|HER|HER062|P
HG86eaf5a5cf|UPR|UPR002|T
HGc9bbb37c64|HER|HER059|P
HGc9bbb37c64|HER|HER066|P
HGc9bbb37c64|UPR|UPR001|T
HGc9bbb37c64|WIN|WIN018|P
HG42259b8b53|FAI|FAI001|R
HG42259b8b53|HER|HER061|P
HG42259b8b53|UPR|UPR045|T
HG9d725de3da|HER|HER058|P
HG9d725de3da|HER|HER065|P
HG9d725de3da|UPR|UPR044|T
HG9d725de3da|WIN|WIN017|P
HG8481e695ac|HER|HER060|P
HG8481e695ac|HER|HER067|P
HG8481e695ac|UPR|UPR102|T
HG8481e695ac|WIN|WIN019|P
HG2ebf14b63e|ARK|ARK001|R
HG2ebf14b63e|DYN|DYN114|R
HG2ebf14b63e|HER|HER073|P
HG2ebf14b63e|HNT|HNT264|V
HGb02713b27d|DYN|DYN113|M
HGb02713b27d|HER|HER074|P
HGb02713b27d|HNT|HNT263|V
HGb02713b27d|WIN|WIN020|P
HG6b431f5643|DYN|DYN001|L
HG6b431f5643|DYN|DYN001|V
HGa4f3a695c5|DYN|DYN025|M
HGa4f3a695c5|HER|HER075|P
HGd9f0a502ae|ARA|ARA001|C
HGd9f0a502ae|HER|HER079|P
HGd9f0a502ae|HER|HER082|P
HGd9f0a502ae|HNT|HNT262|V
HGd9f0a502ae|OUT|OUT003|T
HG5de339c598|HER|HER080|P
HG5de339c598|HER|HER081|P
HG5de339c598|OUT|OUT092|T
HG5de339c598|RIP|RIP001|C
HG7e2e704a30|GEM|GEM033|P
HG7e2e704a30|HER|HER078|P
HG7e2e704a30|OUT|OUT091|T
HG7e2e704a30|WIN|WIN022|P
HGadd4e54205|HER|HER076|P
HGadd4e54205|HER|HER083|P
HGadd4e54205|OUT|OUT002|T
HGadd4e54205|UZU|UZU001|C
HG77320e4ae8|GEM|GEM001|P
HG77320e4ae8|HER|HER077|P
HG77320e4ae8|OUT|OUT001|T
HG77320e4ae8|WIN|WIN021|P
HGa34de661f3|DTD|DTD002|M
HGa34de661f3|HER|HER084|P
HG006f77f452|DTD|DTD001|M
HG006f77f452|GEM|GEM069|P
HG006f77f452|HER|HER086|P
HG006f77f452|HER|HER111|P
HG006f77f452|WIN|WIN023|P
HGd0b6c89bdc|DTD|DTD134|R
HGd0b6c89bdc|HER|HER085|P
HG3d6a057aae|DTD|DTD133|M
HG3d6a057aae|HER|HER087|P
HG3d6a057aae|HER|HER112|P
HG3d6a057aae|WIN|WIN024|P
HG5926ecb564|HER|HER102|P
HG5926ecb564|TCC|TCC027|M
HG6cb3d55afd|HER|HER103|P
HG6cb3d55afd|TCC|TCC049|M
HG64bd2576b0|HER|HER104|P
HG64bd2576b0|TCC|TCC001|M
HGfdf85d155a|AIO|AIO001|M
HGfdf85d155a|EVO|EVO001|M
HGfdf85d155a|HER|HER089|P
HGfdf85d155a|HER|HER094|P
HGfdf85d155a|WIN|WIN025|P
HG5c8664d18a|EVO|EVO002|T
HG5c8664d18a|HER|HER091|P
HG5c8664d18a|HER|HER097|P
HG7f08d8175c|AMX|AMX001|M
HG7f08d8175c|EVO|EVO004|M
HG7f08d8175c|HER|HER090|P
HG7f08d8175c|HER|HER095|P
HG7f08d8175c|WIN|WIN026|P
HG377990bb27|EVO|EVO005|T
HG377990bb27|HER|HER092|P
HG377990bb27|HER|HER098|P
HG9c3c98fa67|EVO|EVO008|T
HG9c3c98fa67|HER|HER093|P
HG9c3c98fa67|HER|HER099|P
HG5d37dbe43e|EVO|EVO007|M
HG5d37dbe43e|HER|HER088|P
HG5d37dbe43e|HER|HER096|P
HG5d37dbe43e|WIN|WIN027|P
HGd0883dabf4|BET|BET001|R
HGd0883dabf4|HVY|HVY046|T
HGd0883dabf4|HVY|HVY046|V
HGfef32c8a20|HER|HER109|P
HGfef32c8a20|HVY|HVY045|M
HGfef32c8a20|HVY|HVY045|V
HGfef32c8a20|WIN|WIN029|P
HG168c66afa0|HVY|HVY091|T
HG168c66afa0|HVY|HVY091|V
HG168c66afa0|KSI|KSI001|R
HGd1e45b1184|HER|HER110|P
HGd1e45b1184|HER|HER146|P
HGd1e45b1184|HVY|HVY090|M
HGd1e45b1184|HVY|HVY090|V
HGd1e45b1184|WIN|WIN031|P
HG41e4104520|HVY|HVY002|T
HG41e4104520|HVY|HVY002|V
HG41e4104520|KYO|KYO001|R
HGbe9dff6849|AKO|AKO001|M
HGbe9dff6849|HER|HER108|P
HGbe9dff6849|HVY|HVY001|M
HGbe9dff6849|HVY|HVY001|V
HGbe9dff6849|WIN|WIN028|P
HGfbcf034539|HVY|HVY093|T
HGfbcf034539|HVY|HVY093|V
HGfbcf034539|OLA|OLA001|R
HG78e836618c|HER|HER107|P
HG78e836618c|HVY|HVY092|M
HG78e836618c|HVY|HVY092|V
HG78e836618c|WIN|WIN032|P
HGff6deffb86|HVY|HVY048|T
HGff6deffb86|HVY|HVY048|V
HGff6deffb86|VIC|VIC001|R
HG32085892bb|HER|HER106|P
HG32085892bb|HER|HER145|P
HG32085892bb|HVY|HVY047|M
HG32085892bb|HVY|HVY047|V
HG32085892bb|WIN|WIN030|P
HGc6b8e53a78|ENG|ENG001|R
HGc6b8e53a78|MST|MST026|T
HGc6b8e53a78|MST|MST026|V
HGc5f14024d8|HER|HER114|P
HGc5f14024d8|HER|HER116|P
HGc5f14024d8|MST|MST025|M
HGc5f14024d8|MST|MST025|V
HGc5f14024d8|WIN|WIN034|P
HGfe509c2a4e|MST|MST238|L
HGfe509c2a4e|MST|MST238|V
HG7779f776e8|MST|MST002|T
HG7779f776e8|MST|MST002|V
HG7779f776e8|NUU|NUU001|R
HG9eb9f127e8|HER|HER113|P
HG9eb9f127e8|HER|HER128|P
HG9eb9f127e8|MST|MST001|M
HG9eb9f127e8|MST|MST001|V
HG9eb9f127e8|WIN|WIN033|P
HG12bf3efa63|MST|MST047|T
HG12bf3efa63|MST|MST047|V
HG12bf3efa63|ZEN|ZEN001|R
HG819c025f90|HER|HER115|P
HG819c025f90|MST|MST046|M
HG819c025f90|MST|MST046|V
HG819c025f90|WIN|WIN035|P
HG135fed27ba|AUA|AUA001|R
HG135fed27ba|AUR|AUR001|R
HG135fed27ba|ROS|ROS008|T
HG135fed27ba|ROS|ROS008|V
HG09cd300e8d|HER|HER129|P
HG09cd300e8d|TER|TER001|R
HG2bdedec36d|AST|AST001|M
HG2bdedec36d|HER|HER120|P
HG2bdedec36d|ROS|ROS007|M
HG2bdedec36d|ROS|ROS007|V
HG2bdedec36d|WIN|WIN037|P
HG56b026d8d4|FLR|FLR001|R
HG56b026d8d4|ROS|ROS002|T
HG56b026d8d4|ROS|ROS002|V
HG8742776388|HER|HER119|P
HG8742776388|ROS|ROS001|M
HG8742776388|ROS|ROS001|V
HG8742776388|WIN|WIN036|P
HGb94c6935c1|OSC|OSC001|R
HGb94c6935c1|ROS|ROS020|T
HGb94c6935c1|ROS|ROS020|V
HGf29d298925|HER|HER122|P
HGf29d298925|ROS|ROS019|M
HGf29d298925|ROS|ROS019|V
HGf29d298925|WIN|WIN039|P
HGd61e46d18c|ROS|ROS014|T
HGd61e46d18c|ROS|ROS014|V
HGd61e46d18c|VER|VER001|R
HGc7111f8e9a|HER|HER121|P
HGc7111f8e9a|ROS|ROS013|M
HGc7111f8e9a|ROS|ROS013|V
HGc7111f8e9a|WIN|WIN038|P
HG003048d78e|AJV|AJV001|M
HG003048d78e|GEM|GEM076|P
HG003048d78e|MPG|MPG000|V
HG003048d78e|WIN|WIN041|P
HG85a411c1c2|HER|HER130|P
HG85a411c1c2|HER|HER131|P
HG85a411c1c2|HNT|HNT261|V
HG85a411c1c2|WIN|WIN042|P
HGe3444c8155|HER|HER132|P
HGe3444c8155|HNT|HNT001|M
HGe3444c8155|HNT|HNT001|V
HGe3444c8155|WIN|WIN043|P
HG3709e3c90d|HNT|HNT002|T
HG3709e3c90d|HNT|HNT002|V
HG3709e3c90d|WOD|WOD001|R
HG83959a9259|CIN|CIN001|R
HG83959a9259|HNT|HNT055|T
HG83959a9259|HNT|HNT055|V
HG14ec5ca79b|HER|HER133|P
HG14ec5ca79b|HER|HER144|P
HG14ec5ca79b|HNT|HNT054|M
HG14ec5ca79b|HNT|HNT054|V
HG14ec5ca79b|WIN|WIN044|P
HG7160c6a2f6|FNG|FNG001|R
HG7160c6a2f6|HNT|HNT099|T
HG7160c6a2f6|HNT|HNT099|V
HGc38038f538|HER|HER134|P
HGc38038f538|HNT|HNT098|M
HGc38038f538|HNT|HNT098|V
HGc38038f538|WIN|WIN045|P
HGdfe01dfaa7|AGB|AGB002|R
HGdfe01dfaa7|SEA|SEA044|B
HGdfe01dfaa7|SEA|SEA044|V
HGb2c02c8d26|AGB|AGB001|M
HGb2c02c8d26|SEA|SEA043|B
HGb2c02c8d26|SEA|SEA043|V
HG73c9d87aea|SEA|SEA083|B
HG73c9d87aea|SEA|SEA083|V
HG4466f913cd|SEA|SEA082|B
HG4466f913cd|SEA|SEA082|V
HG80dcd3d3b6|SEA|SEA002|B
HG80dcd3d3b6|SEA|SEA002|V
HGc95dfc6959|SEA|SEA001|B
HGc95dfc6959|SEA|SEA001|V
HGb870ccdf10|SEA|SEA123|R
HG1919a40081|ASR|ASR001|M
HG1919a40081|HER|HER123|P
HG1919a40081|HER|HER124|P
HG1919a40081|HER|HER125|P
HG1919a40081|WIN|WIN040|P
HGdd3aa340be|BDD|BDD001|R
HGdd3aa340be|GEM|GEM077|P
HGdd3aa340be|SMP|SMP002|M
HG863b4c93ac|HER|HER135|P
HG863b4c93ac|MPG|MPG001|M
HG863b4c93ac|MPG|MPG001|V
HG61bf75afb8|SMP|SMP001|M
HGba766dd5ed|SMP|SMP004|M
HGe08ab9e0fa|SMP|SMP003|M
HG131adae3c7|SMP|SMP005|M
HG46885d9fd0|SMP|SMP006|M
HGb3861e0644|APS|APS002|R
HGb3861e0644|SUP|SUP010|B
HGb3861e0644|SUP|SUP010|V
HG3b29215454|APS|APS001|M
HG3b29215454|HER|HER147|P
HG3b29215454|SUP|SUP009|B
HG3b29215454|SUP|SUP009|V
HG461897db9d|SUP|SUP064|B
HG461897db9d|SUP|SUP064|V
HG2abb60f828|HER|HER148|P
HG2abb60f828|SUP|SUP063|B
HG2abb60f828|SUP|SUP063|V
HG706417fab6|SUP|SUP072|B
HG706417fab6|SUP|SUP072|V
HG74f99ae6c1|HER|HER149|P
HG74f99ae6c1|SUP|SUP071|B
HG74f99ae6c1|SUP|SUP071|V
HG042046d307|SUP|SUP002|B
HG042046d307|SUP|SUP002|V
HGa4eafe54ae|HER|HER146|P
HGa4eafe54ae|SUP|SUP001|B
HGa4eafe54ae|SUP|SUP001|V
HG565a0e744d|HER|HER117|P
HGe127075a95|JDG|JDG024|P
HG3b87d82bcd|LSS|LSS001|P
HG9bfde8b301|HER|HER100|P
HG9bfde8b301|HER|HER101|P
HG8183ea2463|JDG|JDG001|P
HG8183ea2463|JDG|JDG002|P
HG54823a7fcb|LSS|LSS003|P
HGf89191b270|JDG|JDG006|P
HGf89191b270|JDG|JDG008|P
HG870b43f96b|LSS|LSS004|P
