# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: python3 src/data/create_heroes_csv.py
HeroGameId|CardName|CanonicalId|ClassIds|TalentIds|Health|Intellect|AbilityText|Types
HG907ac83aa3|Dash|CNf331996372|CLc2defff067||20|4|You may start the game with a Mechanologist item with cost 2 or less in the arena.|Mechanologist, Hero, Young
HGf097fdd827|Dash, Inventor Extraordinaire|CNf331996372|CLc2defff067||40|4|You may start the game with a Mechanologist item with cost 2 or less in the arena.|Mechanologist, Hero
HG2d709443f5|Kano|CN3eef87363e|CLaf2c41eb4e||15|4|**Instant** - {r}{r}{r}: Look at the top card of your deck. If it's a 'non-attack' action card, you may banish it. If you do, you may play it this turn as though it were an instant.|Wizard, Hero, Young
HG08f45375f7|Kano, Dracai of Aether|CN3eef87363e|CLaf2c41eb4e||30|4|**Instant** - {r}{r}{r}: Look at the top card of your deck. If it's a 'non-attack' action card, you may banish it. If you do, you may play it this turn as though it were an instant.|Wizard, Hero
HGea38c25662|Viserai|CNd58f961090|CL7ddbb0abd6||20|4|Whenever you play a Runeblade card, if you have played another 'non-attack' action card this turn, create a Runechant token.|Runeblade, Hero, Young
HG3bc5f95622|Viserai, Rune Blood|CNd58f961090|CL7ddbb0abd6||40|4|Whenever you play a Runeblade card, if you have played another 'non-attack' action card this turn, create a Runechant token.|Runeblade, Hero
HG58fae43d1c|Benji, the Piercing Wind|CN9e7bc6878f|CL04a4fce796||17|4|Your attack action cards with 2 or less {p} can't be defended by cards from hand.  The first time an attack action card you control hits each turn, your next attack gains +1{p}.|Ninja, Hero, Young
HG1a677e356d|Data Doll MKII|CNa17c9aaa61|CLc2defff067||20|3|Whenever a Mechanologist item with cost 2 or less is put into your banished zone from your deck, put it into the arena.|Mechanologist, Hero, Young
HG7b73efbb43|Kassai, Cintari Sellsword|CNabbb048b33|CLf4c16fcffe||20|4|Your second sword attack each turn costs {r} less.  At the beginning of your end phase, if you have attacked 2 or more times with weapons this turn, create a Copper token for each weapon attack that hit.|Warrior, Hero, Young
HG71b01de5e9|Kavdaen, Trader of Skins|CN8e90acf753|CLaf904dcff9||20|4|**Once per Turn Action** - {r}{r}{r}: If a hero has more {h} than all other hero's, they lose 1{h} and create a Copper token. Then if a hero has less {h} than all other hero's, they gain 1{h}. **Go again**|Merchant, Hero, Young
HG416d888670|Kayo, Berserker Runt|CN9debd7bf7b|CL48a111b581||19|4|Whenever you play an attack action card with base power 6 or more {p}, roll a 6 sided die. On;  - 1 to 4 - Halve the attack's base {p}, rounded down.  - 5 to 6 - Double the attack's base {p}.|Brute, Hero, Young
HGa5191f34c8|Shiyana, Diamond Gemini|CN8976ec95a3|CL833a516c2b||20|4|"You may have **specialization** cards of any hero in your deck.  At the beginning of your action phase, Shiyana becomes a copy of target hero until the start of your next turn, and gains ""Cards you own are the class of your hero in addition to their other class types."""|Shapeshifter, Hero, Young
HG050e89d4af|Boltyn|CNc0f3698088|CLf4c16fcffe|TLdfccc06f14|20|4|If you've **charged** this turn, your attacks get +1{p} while defended by an attack action card.  **Attack Reaction** - Banish a card from Boltyn's soul: Target attack with {p} greater than its base {p} gains **go again**.|Light, Warrior, Hero, Young
HG6dc7b55525|Ser Boltyn, Breaker of Dawn|CNc0f3698088|CLf4c16fcffe|TLdfccc06f14|40|4|If you've **charged** this turn, your attacks get +1{p} while defended by an attack action card.  **Attack Reaction** - Banish a card from Boltyn's soul: Target attack with {p} greater than its base {p} gains **go again**.|Light, Warrior, Hero
HG97af87bde2|Chane|CN1add1ef309|CL7ddbb0abd6|TLed9d3d832a|20|4|**Once per Turn Action** - Create a Soul Shackle token: Your next Runeblade or Shadow action this turn gains **go again. Go again**|Shadow, Runeblade, Hero, Young
HG8475b31caa|Chane, Bound by Shadow|CN1add1ef309|CL7ddbb0abd6|TLed9d3d832a|40|4|**Once per Turn Action** - Create a Soul Shackle token: Your next Runeblade or Shadow action this turn gains **go again. Go again**|Shadow, Runeblade, Hero
HGd8e7909db6|Levia|CN3d9cc96bb6|CL48a111b581|TLed9d3d832a|20|4|If a card with 6 or more {p} has been put into your banished zone this turn, cards you own lose **blood debt** during the end phase.|Shadow, Brute, Hero, Young
HGfa56ccc7b5|Levia, Shadowborn Abomination|CN3d9cc96bb6|CL48a111b581|TLed9d3d832a|40|4|If a card with 6 or more {p} has been put into your banished zone this turn, cards you own lose **blood debt** during the end phase.|Shadow, Brute, Hero
HG8445a42c91|Prism|CN0dce55eeab|CLe7f74fadce|TLdfccc06f14|20|4|**Once per Turn Instant** - {r}{r}, banish a card from Prism's soul: Create a Spectral Shield token.|Light, Illusionist, Hero, Young
HG8601c9a46e|Prism, Sculptor of Arc Light|CN0dce55eeab|CLe7f74fadce|TLdfccc06f14|40|4|**Once per Turn Instant** - {r}{r}, banish a card from Prism's soul: Create a Spectral Shield token.|Light, Illusionist, Hero
HGcca8dd7a3a|Briar|CNaf6b0d806b|CL7ddbb0abd6|TL86c5d291db|20|4|**Essence of Earth and Lightning**  The first time an attack action card you control deals damage to an opposing hero, create an Embodiment of Earth token.  Whenever you play your second 'non-attack' action card each turn, create an Embodiment of Lightning token.|Elemental, Runeblade, Hero, Young
HG220501d18e|Briar, Warden of Thorns|CNaf6b0d806b|CL7ddbb0abd6|TL86c5d291db|40|4|**Essence of Earth and Lightning**  The first time an attack action card you control deals damage to an opposing hero, create an Embodiment of Earth token.  Whenever you play your second 'non-attack' action card each turn, create an Embodiment of Lightning token.|Elemental, Runeblade, Hero
HG6720941105|Lexi|CNff86d77767|CLe8126c64c3|TL86c5d291db|20|4|**Essence of Ice and Lightning**  **Once per Turn Action** - Turn a face down card in your arsenal face up: If it's a Lightning card, your next attack this turn gains **go again**. If it's an Ice card, create a Frostbite token under target hero's control. **Go again**|Elemental, Ranger, Hero, Young
HGb3de3d9fa4|Lexi, Livewire|CNff86d77767|CLe8126c64c3|TL86c5d291db|40|4|**Essence of Ice and Lightning**  **Once per Turn Action** - Turn a face down card in your arsenal face up: If it's a Lightning card, your next attack this turn gains **go again**. If it's an Ice card, create a Frostbite token under target hero's control. **Go again**|Elemental, Ranger, Hero
HGafd308d3bf|Oldhim|CN6a7549d4d5|CL8060afda51|TL86c5d291db|20|4|**Essence of Earth and Ice**  **Once per Turn Defense Reaction** - {r}{r}{r}: If an Earth card is pitched this way, prevent the next 2 damage that would be dealt to Oldhim this turn. If an Ice card is pitched this way, the attacking hero puts a card from their hand on top of their deck.|Elemental, Guardian, Hero, Young
HGc9e92620e5|Oldhim, Grandfather of Eternity|CN6a7549d4d5|CL8060afda51|TL86c5d291db|40|4|**Essence of Earth and Ice**  **Once per Turn Defense Reaction** - {r}{r}{r}: If an Earth card is pitched this way, prevent the next 2 damage that would be dealt to Oldhim this turn. If an Ice card is pitched this way, the attacking hero puts a card from their hand on top of their deck.|Elemental, Guardian, Hero
HG871c3ec849|Bravo, Star of the Show|CN962665711e|CL8060afda51|TL86c5d291db|40|4|**Essence of Earth, Ice, and Lightning**  At the start of your turn, you may reveal an Earth, an Ice, and a Lightning card from your hand. If you do, the next attack action card with cost 3 or greater you play this turn gains +2{p}, **dominate**, and **go again**.|Elemental, Guardian, Hero
HG63606518eb|Genis Wotchuneed|CN57eed2248f|CLaf904dcff9||20|4|**Once per Turn Action** - {r}{r}: Each other hero may put a card from their hand on the bottom of their deck. If they do, they draw a card and you create a Silver token. If you gain no Silver this way, draw a card. **Go again**|Merchant, Hero, Young
HGf79e422b28|Iyslander|CNf9f0b0e9c9|CLaf2c41eb4e|TL86c5d291db|18|4|**Essence of Ice**  If it's not your turn, you may play blue 'non-attack' action cards from your arsenal as though they were an instant.  Whenever you play an Ice card during an opponents turn, create a Frostbite token under their control.|Elemental, Wizard, Hero, Young
HG2c394bcfc7|Valda Brightaxe|CN39da901bf4|CL8060afda51||21|4|Whenever an opponent draws a card during an action phase, create a Seismic Surge token for each card drawn this way.  At the start of your turn, if you control 3 or more Seismic Surge tokens, cards you own with **crush** gain **dominate** this turn.|Guardian, Hero, Young
HGaef6825acf|Dorinthea, Quicksilver Prodigy|CN8aaf1313d0|CLf4c16fcffe||20|4|The first time Dawnblade, Resplendent gains **go again** each turn, you may attack an additional time with it this turn.|Warrior, Hero, Young
HG86eaf5a5cf|Dromai|CN1625be7b82|CLe7f74fadce|TL8d85e3583f|20|4|Whenever you pitch a red card, create an Ash Token.  If you've played a red card this turn, dragons you control have **go again** while attacking.|Draconic, Illusionist, Hero, Young
HGc9bbb37c64|Dromai, Ash Artist|CN1625be7b82|CLe7f74fadce|TL8d85e3583f|40|4|Whenever you pitch a red card, create an Ash Token.  If you've played a red card this turn, dragons you control have **go again** while attacking.|Draconic, Illusionist, Hero
HG42259b8b53|Fai|CN3d60b2a09f|CL04a4fce796|TL8d85e3583f|20|4|You may start the game with a Phoenix Flame in your graveyard.  **Once per Turn Instant** - {r}{r}{r}: Return a Phoenix Flame from your graveyard to your hand. This ability costs {r} less for each Draconic chain link you control.|Draconic, Ninja, Hero, Young
HG9d725de3da|Fai, Rising Rebellion|CN3d60b2a09f|CL04a4fce796|TL8d85e3583f|40|4|You may start the game with a Phoenix Flame in your graveyard.  **Once per Turn Instant** - {r}{r}{r}: Return a Phoenix Flame from your graveyard to your hand. This ability costs {r} less for each Draconic chain link you control.|Draconic, Ninja, Hero
HG8481e695ac|Iyslander, Stormbind|CNf9f0b0e9c9|CLaf2c41eb4e|TL86c5d291db|36|4|**Essence of Ice**  If it's not your turn, you may play blue 'non-attack' action cards from your arsenal as though they were an instant.  Whenever you play an Ice card during an opponents turn, create a Frostbite token under their control.|Elemental, Wizard, Hero
HG2ebf14b63e|Arakni|CNb6ce517916|CLa055f8b49d||20|4|Whenever you play a card with **contract**, you may look at the top card of target opponent's deck. You may put it on the bottom.|Assassin, Hero, Young
HGb02713b27d|Arakni, Huntsman|CNb6ce517916|CLa055f8b49d||40|4|Whenever you play a card with **contract**, you may look at the top card of target opponent's deck. You may put it on the bottom.|Assassin, Hero
HG6b431f5643|Emperor, Dracai of Aesir|CNf9430dadc9|CLf4c16fcffe, CLaf2c41eb4e|TL9d644bbc55, TL8d85e3583f|15|4|You may only have red cards in your deck.  **Action** - {r}{r}{r}: Search your deck for Command and Conquer, **attack** with it, then shuffle.|Royal, Draconic, Warrior, Wizard, Hero, Young
HGa4f3a695c5|Yoji, Royal Protector|CN2948f6254b|CL8060afda51||22|4|**Once per Turn Instant** - {r}{r}{r}: The next time another target hero would be dealt damage this turn, instead that damage is dealt to Yoji and prevent 1 of that damage.|Guardian, Hero, Young
HGd9f0a502ae|Arakni, Solitary Confinement|CNb6ce517916|CLa055f8b49d||19|4|Your first attack with **stealth** each turn has **go again**.|Assassin, Hero, Young
HG5de339c598|Riptide|CN7cac1c0104|CLe8126c64c3||19|4|Whenever you play a card from hand, you may put a card from hand face down into your arsenal.  Whenever a trap you control triggers, deal 1 damage to the attacking hero.|Ranger, Hero, Young
HG7e2e704a30|Riptide, Lurker of the Deep|CN7cac1c0104|CLe8126c64c3||38|4|Whenever you play a card from hand, you may put a card from hand face down into your arsenal.  Whenever a trap you control triggers, deal 1 damage to the attacking hero.|Ranger, Hero
HGadd4e54205|Uzuri|CN8290196468|CLa055f8b49d||20|4|**Once per Turn Attack Reaction** - Banish a card from your hand face down: Turn the card banished this way face up. If it's an attack action card with cost 2 or less, put target attacking card with **stealth** from the active chain link on the bottom of its owner's deck, then put the banished card onto the active chain link as the attacking card.|Assassin, Hero, Young
HG77320e4ae8|Uzuri, Switchblade|CN8290196468|CLa055f8b49d||40|4|**Once per Turn Attack Reaction** - Banish a card from your hand face down: Turn the card banished this way face up. If it's an attack action card with cost 2 or less, put target attacking card with **stealth** from the active chain link on the bottom of its owner's deck, then put the banished card onto the active chain link as the attacking card.|Assassin, Hero
HGa34de661f3|Prism, Advent of Thrones|CN0dce55eeab|CLe7f74fadce|TLdfccc06f14|16|4|Whenever a card with Herald in its name is put into Prism's soul during an action phase, you may search your deck for a figment, put it into the arena, then shuffle.  **Once per Turn Instant** - {r}{r}, banish a card from Prism's soul: **Awaken** target figment you control.|Light, Illusionist, Hero, Young
HG006f77f452|Prism, Awakener of Sol|CN0dce55eeab|CLe7f74fadce|TLdfccc06f14|32|4|Whenever a card with Herald in its name is put into Prism's soul during an action phase, you may search your deck for a figment, put it into the arena, then shuffle.  **Once per Turn Instant** - {r}{r}, banish a card from Prism's soul: **Awaken** target figment you control.|Light, Illusionist, Hero
HGd0b6c89bdc|Vynnset|CNdeac380ca2|CL7ddbb0abd6|TLed9d3d832a|20|4|At the start of your turn, banish a card from your hand. If you do, create a Runechant token.  Whenever you play a Shadow non-attack action card, you may pay {h}. If you do, the next Runechant effect that would deal damage this turn can't be prevented.|Shadow, Runeblade, Hero, Young
HG3d6a057aae|Vynnset, Iron Maiden|CNdeac380ca2|CL7ddbb0abd6|TLed9d3d832a|40|4|At the start of your turn, banish a card from your hand. If you do, create a Runechant token.  Whenever you play a Shadow non-attack action card, you may pay {h}. If you do, the next Runechant effect that would deal damage this turn can't be prevented.|Shadow, Runeblade, Hero
HG5926ecb564|Brevant, Civic Protector|CNc26c1da353|CL8060afda51||20|4|You may have any number of Chivalry in your deck.  Whenever you **protect** another hero, create a Might token.|Guardian, Hero, Young
HG6cb3d55afd|Melody, Sing-along|CN536c1bd4a0|CLc40cbb33be||20|4|Whenever you play a song, create Copper tokens equal to the number of other heroes in the game.|Bard, Hero, Young
HG64bd2576b0|Professor Teklovossen|CNe4597f9ec7|CLc2defff067||20|4|Evos cost {r} less to play for each opposing hero.  You may play Evos from your banished zone.|Mechanologist, Hero, Young
HGfdf85d155a|Dash I/O|CNf331996372|CLc2defff067||36|4|You may look at the top card of your deck at any time.  Once per turn, you may play a Mechanologist item with cost 0 or 1 from the top of your deck as though it were an instant. It costs an additional {r} to play.|Mechanologist, Hero
HG5c8664d18a|Dash, Database|CNf331996372|CLc2defff067||18|4|You may look at the top card of your deck at any time.  Once per turn, you may play a Mechanologist item with cost 0 or 1 from the top of your deck as though it were an instant. It costs an additional {r} to play.|Mechanologist, Hero, Young
HG7f08d8175c|Maxx 'The Hype' Nitro|CN121e052239|CLc2defff067||40|4|**Once per Turn Action** - {r}{r}: Create a Hyper Driver token with 2 steam counters.  Activate this ability only if you've boosted this turn.  Hyper Drivers you control get **crank**.|Mechanologist, Hero
HG377990bb27|Maxx Nitro|CN121e052239|CLc2defff067||20|4|**Once per Turn Action** - {r}{r}: Create a Hyper Driver token with 2 steam counters.  Activate this ability only if you've boosted this turn.  Hyper Drivers you control get **crank**.|Mechanologist, Hero, Young
HG9c3c98fa67|Teklovossen|CNe4597f9ec7|CLc2defff067||20|4|You may play Evos from your banished zone.  **Once per Turn Instant** - {r}{r}{r}: You may play your next Evo this turn as though it were an instant. When you do, draw a card.|Mechanologist, Hero, Young
HG5d37dbe43e|Teklovossen, Esteemed Magnate|CNe4597f9ec7|CLc2defff067||40|4|You may play Evos from your banished zone.  **Once per Turn Instant** - {r}{r}{r}: You may play your next Evo this turn as though it were an instant. When you do, draw a card.|Mechanologist, Hero
HGd0883dabf4|Betsy|CN5fa4b480fe|CL8060afda51||20|4|Whenever an attack you control **wagers**, you may pay {r}{r}. If you do, the attack gets +1{p} and **overpower**.|Guardian, Hero, Young
HGfef32c8a20|Betsy, Skin in the Game|CN5fa4b480fe|CL8060afda51||40|4|Whenever an attack you control **wagers**, you may pay {r}{r}. If you do, the attack gets +1{p} and **overpower**.|Guardian, Hero
HG168c66afa0|Kassai|CNabbb048b33|CLf4c16fcffe||20|4|If you've drawn a card this turn, your sword attacks cost {r} less to activate.  **Once per Turn Action** - Banish 2 red and 2 yellow cards from your graveyard: The next time a weapon you control hits a hero this turn, create a Gold token. **Go again**|Warrior, Hero, Young
HGd1e45b1184|Kassai of the Golden Sand|CNabbb048b33|CLf4c16fcffe||40|4|If you've drawn a card this turn, your sword attacks cost {r} less to activate.  **Once per Turn Action** - Banish 2 red and 2 yellow cards from your graveyard: The next time a weapon you control hits a hero this turn, create a Gold token. **Go again**|Warrior, Hero
HG41e4104520|Kayo|CN9debd7bf7b|CL48a111b581||20|4|You have 1 weapon zone.  Attack action cards you own get +1{p} while they are in any zone other than the combat chain.  The first time you discard a card with 6 or more {p} during each of your action phases, create a Might token.|Brute, Hero, Young
HGbe9dff6849|Kayo, Armed and Dangerous|CN9debd7bf7b|CL48a111b581||40|4|You have 1 weapon zone.  Attack action cards you own get +1{p} while they are in any zone other than the combat chain.  The first time you discard a card with 6 or more {p} during each of your action phases, create a Might token.|Brute, Hero
HGfbcf034539|Olympia|CN080d9cf1ee|CLf4c16fcffe||20|4|The first time each of your attacks wins a **wager**, create a Gold token.|Warrior, Hero, Young
HG78e836618c|Olympia, Prized Fighter|CN080d9cf1ee|CLf4c16fcffe||40|4|The first time each of your attacks wins a **wager**, create a Gold token.|Warrior, Hero
HGff6deffb86|Victor Goldmane|CN88fa846e5f|CL8060afda51||20|4|The first time each turn you create a Gold token from an effect you control, draw a card.  The first time each turn you would fail to win a **clash**, instead you may destroy a Gold you control. If you do, put 1 of the revealed cards on the bottom of its owner's deck, then **clash** again.|Guardian, Hero, Young
HG32085892bb|Victor Goldmane, High and Mighty|CN88fa846e5f|CL8060afda51||40|4|The first time each turn you create a Gold token from an effect you control, draw a card.  The first time each turn you would fail to win a **clash**, instead you may destroy a Gold you control. If you do, put 1 of the revealed cards on the bottom of its owner's deck, then **clash** again.|Guardian, Hero
HGc6b8e53a78|Enigma|CN27613a7538|CLe7f74fadce|TLf06e1de18e|20|4|Your first Spectral Shield attack each turn costs {r} less to activate.  **Once per Turn Instant** - {c}{c}{c}: Create a Spectral Shield token with a +1{p} counter.|Mystic, Illusionist, Hero, Young
HGc5f14024d8|Enigma, Ledger of Ancestry|CN27613a7538|CLe7f74fadce|TLf06e1de18e|40|4|Your first Spectral Shield attack each turn costs {r} less to activate.  **Once per Turn Instant** - {c}{c}{c}: Create a Spectral Shield token with a +1{p} counter.|Mystic, Illusionist, Hero
HGfe509c2a4e|Enigma, New Moon|CN27613a7538|CLe7f74fadce|TLf06e1de18e|20|4|Equipment you own gets **cloaked**  **Instant** - {c}{c}{c}: Turn target face-down equipment you have equipped face-up. If it has **ward**, create 3 Spectral Shield tokens.|Mystic, Illusionist, Hero, Young
HG7779f776e8|Nuu|CNf2ce6e465c|CLa055f8b49d|TLf06e1de18e|20|4|"Your attacks with **stealth** get ""When this chain link resolves, banish all action cards defending this.""  **Instant** - {c}{c}{c}: Look at the top card of an opposing hero's deck. If it's blue, you may banish it. Until end of turn, you may play blue cards from that hero's banished zone without paying their {r} cost."|Mystic, Assassin, Hero, Young
HG9eb9f127e8|Nuu, Alluring Desire|CNf2ce6e465c|CLa055f8b49d|TLf06e1de18e|40|4|"Your attacks with **stealth** get ""When this chain link resolves, banish all action cards defending this.""  **Instant** - {c}{c}{c}: Look at the top card of an opposing hero's deck. If it's blue, you may banish it. Until end of turn, you may play blue cards from that hero's banished zone without paying their {r} cost."|Mystic, Assassin, Hero
HG12bf3efa63|Zen|CN3fb05a163b|CL04a4fce796|TLf06e1de18e|20|4|**Once per Turn Instant** - {c}{c}{c}: Create a Crouching Tiger in your hand. Search your deck for a card with **combo**, banish it, then shuffle. You may play it this turn.|Mystic, Ninja, Hero, Young
HG819c025f90|Zen, Tamer of Purpose|CN3fb05a163b|CL04a4fce796|TLf06e1de18e|40|4|**Once per Turn Instant** - {c}{c}{c}: Create a Crouching Tiger in your hand. Search your deck for a card with **combo**, banish it, then shuffle. You may play it this turn.|Mystic, Ninja, Hero
HG135fed27ba|Aurora|CNc8251d848e|CL7ddbb0abd6|TL86c5d291db|20|4|**Once per Turn Instant** - {r}{r}: Create an Embodiment of Lightning token. Activate this only if you've played a Lightning card this turn.  **Essence of Lightning**|Elemental, Runeblade, Hero, Young
HG09cd300e8d|Terra|CN75fa82dd35|CL8060afda51|TL86c5d291db|20|4|At the beginning of each end phase, if there is an Earth card in your pitch zone, you may pay {r}. If you do, create a Might token.  **Essence of Earth**|Elemental, Guardian, Hero, Young
HG2bdedec36d|Aurora, Shooting Star|CNc8251d848e|CL7ddbb0abd6|TL86c5d291db|40|4|**Once per Turn Instant** - {r}{r}: Create an Embodiment of Lightning token. Activate this only if you've played a Lightning card this turn.  **Essence of Lightning**|Elemental, Runeblade, Hero
HG56b026d8d4|Florian|CN73262ad033|CL7ddbb0abd6|TL86c5d291db|20|4|"If there are 4 or more Earth cards in your banished zone, Florian gets ""If you would create 1 or more aura tokens, instead create that many plus 1 of each of those tokens.""  **Essence of Earth**"|Elemental, Runeblade, Hero, Young
HG8742776388|Florian, Rotwood Harbinger|CN73262ad033|CL7ddbb0abd6|TL86c5d291db|40|4|"If there are 8 or more Earth cards in your banished zone, Florian gets ""If you would create 1 or more aura tokens, instead create that many plus 1 of each of those tokens.""  **Essence of Earth**"|Elemental, Runeblade, Hero
HGb94c6935c1|Oscilio|CNdc4280e42e|CLaf2c41eb4e|TL86c5d291db|18|4|**Once per Turn Instant** - Discard an instant: Draw a card.  **Essence of Lightning**|Elemental, Wizard, Hero, Young
HGf29d298925|Oscilio, Constella Intelligence|CNdc4280e42e|CLaf2c41eb4e|TL86c5d291db|36|4|**Once per Turn Instant** - Discard an instant: Draw a card.  **Essence of Lightning**|Elemental, Wizard, Hero
HGd61e46d18c|Verdance|CN32ac34429d|CLaf2c41eb4e|TL86c5d291db|20|4|"If there are 4 or more Earth cards in your banished zone, Verdance gets ""Whenever you gain {h} during your turn, you may deal 1 arcane damage to any opposing target.""  **Essence of Earth**"|Elemental, Wizard, Hero, Young
HGc7111f8e9a|Verdance, Thorn of the Rose|CN32ac34429d|CLaf2c41eb4e|TL86c5d291db|40|4|"If there are 8 or more Earth cards in your banished zone, Verdance gets ""Whenever you gain {h} during your turn, you may deal 1 arcane damage to any opposing target.""  **Essence of Earth**"|Elemental, Wizard, Hero
HG003048d78e|Jarl Vetreiði|CN2f819c5685|CL8060afda51|TL86c5d291db|40|4|Whenever you play an Ice card, create a Frostbite token in an opponent's exposed head, chest, arms, or legs zone.  **Essence of Earth and Ice**|Elemental, Guardian, Hero
HG85a411c1c2|Arakni, 5L!p3d 7hRu 7h3 cR4X|CNb6ce517916|CLa055f8b49d|TLb23b4b8d68|38|4|The first attack with **stealth** each turn gets **go again**.|Chaos, Assassin, Hero
HGe3444c8155|Arakni, Marionette|CNb6ce517916|CLa055f8b49d|TLb23b4b8d68|40|4|"Your attacks with **stealth** that are attacking a **marked** hero get +1{p} and ""When this hits, this gets **go again**.""  At the beginning of your end phase, if an opponent is **marked**, you become a random Agent of Chaos."|Chaos, Assassin, Hero
HG3709e3c90d|Arakni, Web of Deceit|CNb6ce517916|CLa055f8b49d|TLb23b4b8d68|20|4|"Your attacks with **stealth** that are attacking a **marked** hero get +1{p} and ""When this hits, this gets **go again**.""  At the beginning of your end phase, if an opponent is **marked**, you become a random Agent of Chaos."|Chaos, Assassin, Hero, Young
HG83959a9259|Cindra|CN4872a2f0f8|CL04a4fce796|TL9d644bbc55, TL8d85e3583f|20|4|Whenever you hit a **marked** hero, create a Fealty token.  **Once per Turn Instant** - {r}{r}{r}: Equip up to 2 Draconic daggers from your graveyard. This costs {r} less to activate for each Draconic chain link you control.|Royal, Draconic, Ninja, Hero, Young
HG14ec5ca79b|Cindra, Dracai of Retribution|CN4872a2f0f8|CL04a4fce796|TL9d644bbc55, TL8d85e3583f|40|4|Whenever you hit a **marked** hero, create a Fealty token.  **Once per Turn Instant** - {r}{r}{r}: Equip up to 2 Draconic daggers from your graveyard. This costs {r} less to activate for each Draconic chain link you control.|Royal, Draconic, Ninja, Hero
HG7160c6a2f6|Fang|CN15a4444bd9|CLf4c16fcffe|TL9d644bbc55, TL8d85e3583f|20|4|Whenever you hit a **marked** hero, create a Fealty token.  If you control 3 or more Fealty tokens, dagger attacks cost you {r} less to activate.|Royal, Draconic, Warrior, Hero, Young
HGc38038f538|Fang, Dracai of Blades|CN15a4444bd9|CLf4c16fcffe|TL9d644bbc55, TL8d85e3583f|40|4|Whenever you hit a **marked** hero, create a Fealty token.  If you control 3 or more Fealty tokens, dagger attacks cost you {r} less to activate.|Royal, Draconic, Warrior, Hero
HGdfe01dfaa7|Gravy Bones|CN094d03551d|CL466f24c901, CL73a3107d6a||20|4|**Instant** - {t}, destroy a Gold you control: Draw a card, then discard a card.  If a blue card has been put into your graveyard this turn, you may play cards with watery grave from your graveyard.|Pirate, Necromancer, Hero, Young
HGb2c02c8d26|Gravy Bones, Shipwrecked Looter|CN094d03551d|CL466f24c901, CL73a3107d6a||40|4|**Instant** - {t}, destroy a Gold you control: Draw a card, then discard a card.  If a blue card has been put into your graveyard this turn, you may play cards with watery grave from your graveyard.|Pirate, Necromancer, Hero
HG73c9d87aea|Marlynn|CN01c5443111|CL466f24c901, CLe8126c64c3||20|4|**Action** - {t}, destroy a Gold you control: Create a Goldfin Harpoon in your hand. **Go again**  Whenever you draw a card during your action phase, you may put an arrow from your hand face-up into your arsenal.|Pirate, Ranger, Hero, Young
